NQUEST;Y;YL;YL1;YL2;YT;YTP;YTP1;YTP2;YTA;YTA1;YTA11;YTA12;YTA2;YTA3;YTA31;YTA32;YTA4;YTA5;YM;YC;YCA;YCA1;YCA2;YCF;YCF1;YCF2;YCF3;YCF4;CLY;CLY2
930592;11.025.759.293;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100000;10.257.592.932;7200;0;7200;30.575.929.324;15.494.351.361;0;29.026.494.188;0;10;5
930603;58.429.443.855;52000;52000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64.294.438.547;8400;0;8400;-1.970.556.145;45.179.937.531;0;0;24.223.555.206;9;5
930605;69.111.659.946;58000;58000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.111.659.946;12800;0;12800;-1.688.340.054;28.543.111.134;0;0;1.973.771.165;9;5
930606;34.158.878.535;21000;21000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3500;96.588.785.352;9600;0;9600;58.878.535.172;58.878.535.172;0;0;0;7;4
930608;45.838.946.661;41000;41000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48.389.466.614;6000;0;6000;-1.161.053.339;94.982.857.334;0;0;12.560.361.959;8;4
930632;50.977.635.883;40000;40000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.977.635.883;10800;0;10800;17.763.588.268;17.763.588.268;0;0;0;9;5
930635;42.072.246.664;38000;38000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40.722.466.638;6000;0;6000;-1.927.753.336;46.017.828.782;0;0;1.973.771.165;8;4
930656;61.722.368.443;53200;53000;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85.223.684.433;7800;0;7800;72.236.844.327;16.279.713.497;0;5.595.713.083;0;9;5
930672;11.508.977.627;6000;6000;0;4500;0;0;0;4500;0;0;0;0;-1500;0;1500;0;6000;0;10.089.776.268;1000;0;1000;8.977.626.755;8.977.626.755;0;0;0;1;1
930677;38.461.977.405;30000;30000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;84.619.774.054;8400;0;8400;61.977.405.444;61.977.405.444;0;0;0;7;4
930686;15.226.340.397;12000;12000;0;3200;0;0;0;3200;0;0;0;0;0;0;0;3200;0;0;26.340.397.314;0;0;0;26.340.397.314;26.340.397.314;0;0;0;2;1
930708;83.234.000.423;46430;46200;230;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36.804.000.423;36300;0;36300;50.400.042.309;16.888.842.984;0;33.511.199.325;0;10;5
930712;61.427.197.552;0;0;0;44330;44330;44330;0;0;0;0;0;0;0;0;0;0;0;2000;15.097.197.552;15000;0;15000;97.197.552.391;97.197.552.391;0;0;0;9;5
930722;3.782.047.448;5200;5200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14500;1.812.047.448;18000;0;18000;12.047.447.981;12.047.447.981;0;0;0;7;4
930723;15.698.485.319;21850;21850;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70000;65.134.853.193;57500;0;57500;76.348.531.932;15.494.351.361;0;76.193.588.419;0;10;5
930724;10.101.664.711;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69000;32.016.647.112;27600;0;27600;44.166.471.123;21.072.317.851;52.490.875.937;38.706.660.351;0;10;5
930725;10.192.905.637;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82000;19.929.056.366;10800;0;10800;91.290.563.655;22.948.245.181;0;91.061.081.203;0;10;5
