NQUEST,NUMADD,NUMDIP,QUOPRO,FORGIU,FATLOR,YM,DEBATT1,NDEBATT1,DEBATT2,NDEBATT2,DEBCOM,TDEBCOM,CREDCOM,TCREDCOM,TFR,IMMOB,VALAZ,IND1,IND2,IND3,IND4,IND5,IND6,ATTIVP1,ATTIVP2,ATTIVP3,ATTIVP4,ATTIVP5,ATTIVP6,MESILAV1,MESILAV2,MESILAV3,MESILAV4,MESILAV5,MESILAV6,ORETOT1,ORETOT2,ORETOT3,ORETOT4,ORETOT5,ORETOT6
858946,5,1,25,1,50000,40000,2,,2,,2,,2,,5000,2,100000,1,,,,,,1,,,,,,12,,,,,,6,,,,,
859075,1,0,100,8,75000,38000,2,,2,,1,8000,1,2000,,2,180000,1,,,,,,1,,,,,,10,,,,,,40,,,,,
859286,3,2,10,8,6000,4000,2,,2,,2,,2,,1000,2,0,1,2,,,,,1,1,,,,,12,12,,,,,50,20,,,,
859628,1,1,100,8,28000,16000,2,,2,,2,,2,,,2,30000,1,,,,,,1,,,,,,12,,,,,,60,,,,,
860044,2,0,100,8,120000,80000,2,,2,,2,,2,,,2,0,1,2,,,,,1,1,,,,,11,11,,,,,38,50,,,,
860292,7,3,16,8,3000,1500,2,,2,,2,,2,,,2,0,2,,,,,,1,,,,,,12,,,,,,50,,,,,
860297,1,0,100,8,11000,7000,2,,2,,2,,2,,,1,10000,1,,,,,,1,,,,,,12,,,,,,50,,,,,
860940,2,0,100,9,60000,28000,2,,2,,1,3000,1,4500,,2,30000,1,2,,,,,1,1,,,,,11,11,,,,,40,40,,,,
860960,2,0,100,8,65000,25000,1,2,2,,1,10000,1,3000,,1,100000,1,2,,,,,1,1,,,,,11,11,,,,,60,50,,,,
861408,2,1,100,8,30000,15000,2,,2,,1,3000,1,6000,999,2,2000,1,,,,,,1,,,,,,12,,,,,,40,,,,,
861741,1,0,10,9,10000,8000,2,,2,,2,,2,,,2,10000,2,,,,,,1,,,,,,1,,,,,,10,,,,,
862854,2,1,100,9,30000,20000,2,,2,,2,,2,,10000,2,30000,2,,,,,,1,,,,,,12,,,,,,40,,,,,
863442,1,0,90,9,20000,15000,2,,2,,2,,2,,,2,25000,1,,,,,,1,,,,,,12,,,,,,54,,,,,
863461,1,1,100,8,20000,18000,2,,2,,2,,2,,2000,2,30000,2,,,,,,1,,,,,,12,,,,,,48,,,,,
864085,1,0,100,8,20000,18000,2,,2,,2,,2,,,2,100000,2,,,,,,1,,,,,,12,,,,,,70,,,,,
864628,2,1,100,8,300000,24000,1,1,2,,2,,2,,,2,55000,1,2,,,,,1,1,,,,,10,4,,,,,50,50,,,,
864940,2,0,100,8,50000,25000,2,,2,,2,,2,,,2,200000,1,2,,,,,2,1,,,,,3,12,,,,,40,40,,,,
865262,2,0,100,8,42000,15000,1,1,2,,2,,2,,,2,700000,1,2,,,,,1,1,,,,,12,12,,,,,60,60,,,,
865265,3,2,100,8,25000,15000,2,,2,,2,,2,,,2,0,2,,,,,,1,,,,,,12,,,,,,50,,,,,
865387,3,0,51,8,100000,55000,2,,2,,2,,2,,,1,220000,1,,,,,,1,,,,,,12,,,,,,66,,,,,
865541,4,3,100,7,70000,50000,2,,2,,1,5000,2,,25000,1,95000,1,2,3,4,,,1,1,1,1,,,11,11,11,11,,,45,40,35,35,,
865544,2,0,100,9,75000,48000,2,,2,,1,6000,1,1200,,2,25000,1,2,,,,,1,1,,,,,12,12,,,,,40,45,,,,
866343,5,3,100,9,60000,48000,2,,2,,2,,2,,10000,1,500000,1,4,,,,,1,1,,,,,12,12,,,,,40,40,,,,
866512,6,6,100,8,,,2,,2,,2,,2,,,2,200000,1,2,3,,,,2,2,1,,,,2,4,4,,,,10,50,70,,,
867182,4,0,30,6,5000,3000,2,,2,,2,,2,,,1,1000,1,,,,,,2,,,,,,1,,,,,,2,,,,,
867536,5,4,100,6,120000,32000,2,,2,,1,40000,1,35000,37500,1,400000,1,,,,,,1,,,,,,11,,,,,,50,,,,,
867585,1,0,100,8,45000,22000,2,,2,,2,,2,,,2,90000,1,,,,,,1,,,,,,11,,,,,,40,,,,,
867909,2,0,100,8,42000,23000,2,,2,,1,4000,1,3000,,2,100000,1,2,,,,,1,1,,,,,12,12,,,,,40,40,,,,
867969,3,2,100,8,45000,28000,2,,2,,2,,2,,15000,2,80000,1,,,,,,1,,,,,,11,,,,,,44,,,,,
867998,1,0,100,8,30000,15000,2,,2,,1,5000,2,,,2,,2,,,,,,1,,,,,,12,,,,,,40,,,,,
868505,1,1,100,8,20000,15000,2,,2,,2,,2,,30000,2,30000,2,,,,,,1,,,,,,12,,,,,,20,,,,,
