NQUEST,NORD,NORDP,NESPLAV,EXLAV,ETALAV,CONTRIB,ACONTRIB,MCONTRIB,ETALAV2,LAVFATT1,LAVFATT2,LAVFATT3,LAVFATT4,LAVFATT5,LAVFATT6,LAVFATT7,ETAPEN,COPPU,PREVCOM,ANPREVCOM,MPREVCOM1,MPREVCOM,COPPIP,DOCSEZB,ETA,maxan
26163,1,1,2,1,25,1,29,,44,1,4,2,5,3,7,6,65,65,2,,,,,2,54,34
26163,2,2,3,1,14,1,29,,48,,,,,,,,,,2,,,,,2,50,41
26163,3,4,0,,,,,,,,,,,,,,,,,,,,,2,17,
26281,1,1,3,3,40,1,3,,,,,,,,,,,,,,,,,2,88,53
26310,1,1,3,1,20,1,38,,,,,,,,,,,,,,,,,2,71,56
26310,2,2,1,,40,1,2,,,,,,,,,,,,,,,,,2,69,34
26310,3,3,2,1,23,1,8,,28,,,,,,,,,,1,2007,2,,,2,35,17
26349,1,1,2,1,17,1,40,,,,,,,,,,,,,,,,,2,78,66
26349,2,2,1,,22,1,15,,,,,,,,,,,,,,,,,2,72,55
26499,1,1,0,,,,,,,,,,,,,,,,,,,,,2,82,
26499,2,2,1,,25,1,15,,,,,,,,,,,,,,,,,2,45,25
26653,1,1,1,,16,1,30,,,,,,,,,,,,,,,,,2,77,66
26684,1,1,0,,,,,,,,,,,,,,,,,,,,,2,66,
26684,2,2,3,1,17,1,10,,42,,,,,,,,,,3,,,,,2,43,31
27109,1,1,0,,,,,,,,,,,,,,,,,,,,,2,85,
27114,1,1,0,,,,,,,,,,,,,,,,,,,,,2,72,
27116,1,1,1,,15,1,40,,,,,,,,,,,,,,,,,2,73,63
27116,2,2,0,,,,,,,,,,,,,,,,,,,,,2,70,
27123,1,1,2,1,13,1,35,,,,,,,,,,,,,,,,,2,61,53
27123,2,2,1,,27,1,,8,,,,,,,,,,,,,,,,2,57,35
27155,1,1,1,,26,1,10,,,1,2,4,5,6,7,3,65,50,,,,,,2,53,32
27155,2,2,2,3,23,1,15,,24,1,4,5,6,7,3,2,60,60,,,,,,2,49,31
27155,3,3,1,,20,1,1,,,6,1,7,4,2,3,5,65,80,,,,,,2,21,6
27155,4,4,0,,,,,,,,,,,,,,,,,,,,,2,15,
27157,1,1,1,,24,1,26,,,1,4,5,7,2,3,6,65,50,,,,,,2,50,31
27157,2,2,1,,37,2,,,,1,4,5,7,2,3,6,60,50,,,,,,2,47,15
27157,3,3,0,,,,,,,,,,,,,,,,,,,,,2,20,
27157,4,4,,,,,,,,,,,,,,,,,,,,,,2,14,
27224,1,1,1,,20,1,30,,,,,,,,,,,,,,,,,2,60,45
27224,2,2,1,,35,1,22,,,5,3,1,4,2,7,6,60,50,,,,,,2,57,27
27224,3,3,1,,24,1,7,,,,,,,,,,,,2,,,,,2,31,12
27238,1,1,4,1,15,1,38,,,,,,,,,,,,,,,,,2,58,48
27238,2,2,1,,26,1,22,,,,,,,,,,,,2,,,,,2,49,28
27505,1,1,2,1,18,1,35,,,,,,,,,,,,,,,,,2,65,52
27509,1,2,5,1,14,1,30,,,,,,,,,,,,,,,,,1,76,67
27730,1,1,2,1,17,1,5,,,,,,,,,,,,,,,,,1,61,49
27730,2,2,3,1,14,1,37,,,,,,,,,,,,,,,,,1,71,62
27730,3,3,2,1,16,2,,,33,,,,,,,,,,2,,,,,1,38,27
27730,4,4,0,1,16,2,,,23,4,2,1,7,6,3,5,65,70,,,,,,1,25,14
27734,1,1,2,1,18,1,4,,,,,,,,,,,,,,,,,2,59,46
27734,2,2,5,1,13,1,40,,,,,,,,,,,,,,,,,2,63,55
27734,3,10,3,1,19,1,2,,,,,,,,,,,,,,,,,2,30,16
27739,1,1,0,,,,,,,,,,,,,,,,,,,,,1,72,
27742,1,1,1,,14,1,5,,,,,,,,,,,,,,,,,1,78,69
27742,2,2,2,1,26,1,4,,28,1,7,4,2,6,3,5,65,70,2,,,,,1,36,15
27744,1,1,1,,18,1,31,,,,,,,,,,,,,,,,,2,63,50
27744,2,2,1,,13,1,45,,,1,4,3,6,2,5,7,73,60,,,,,,2,73,65
27881,1,1,3,1,14,1,35,,,,,,,,,,,,,,,,,2,82,73
27912,1,1,1,,22,1,37,,,,,,,,,,,,,,,,,2,62,45
27912,2,2,3,1,24,1,32,,,,,,,,,,,,,,,,,2,56,37
27912,3,3,1,,22,1,2,,,,,,,,,,,,2,,,,,2,25,8
27923,1,1,3,1,18,1,38,,,,,,,,,,,,,,,,,2,59,46
27923,2,2,1,,16,1,8,,,,,,,,,,,,,,,,,2,53,42
27923,3,4,0,,,,,,,,,,,,,,,,,,,,,2,24,
27923,4,5,0,,,,,,,,,,,,,,,,,,,,,2,18,
27923,5,6,,,,,,,,,,,,,,,,,,,,,,2,10,
