NQUEST,NORD,SEX,PARENT,ANASC,CIT,ANINGR,SALUT,STACIV,STUDIO,VOTOEDU,SUEDU,SELODE,ANNOEDU,UNIVER,NORDP,MOTENT,APQUAL,ASNONOC,NACE,MOTIV,ANNOENUS,TIPOLAU,TIPODIP,NASCREG,NASCAREA,IREG,NCOMP,ETA,CLETA,CLETA5,QUAL,Q,APSETT,SETT,CFRED,PERC,NPERC,AREA3,AREA5,ACOM4C,pesofit
866053,4,1,6,1982,1,,2,2,5,90,100,2,2001,1,,,2,,7,,,,3,19,3,19,4,28,1,1,2,1,7,4,0,1,3,3,5,2,0.8984505133
866055,1,1,1,1978,1,,2,1,5,60,100,2,2000,2,,,1,,2,,,,2,19,3,19,2,32,2,1,1,1,2,2,1,1,2,3,5,2,1.0364869017
866055,2,2,2,1978,1,,2,1,5,68,100,2,1997,2,,,1,,7,,,,2,19,3,19,2,32,2,1,1,1,7,4,0,1,2,3,5,2,1.0364869017
866057,1,1,1,1951,1,,2,1,3,,,,,,,,16,,,,,,,19,3,19,3,59,4,4,6,3,,5,1,1,2,3,5,2,0.8365507471
866057,2,2,2,1960,1,,2,1,5,38,60,2,1981,1,,,3,,16,,,,1,19,3,19,3,50,3,3,2,1,16,3,0,1,2,3,5,2,0.8365507471
866057,3,1,6,2000,1,,1,2,1,,,,,,,,17,,,,,,,19,3,19,3,10,1,1,7,3,,5,0,0,2,3,5,2,0.8365507471
866059,1,2,1,1967,1,,2,3,7,105,110,2,2009,,,,2,,15,,,7,3,19,3,19,2,43,3,2,2,1,15,3,1,1,2,3,5,2,1.1011001756
866059,2,2,7,1990,1,,2,2,5,80,100,2,2009,1,,,17,,,,,,3,19,3,19,2,20,1,1,7,3,,5,0,1,2,3,5,2,1.1011001756
866060,1,2,1,1945,1,,3,4,3,,,,,,,,16,,,,,,,19,3,19,1,65,4,5,6,3,,5,1,1,1,3,5,2,0.9131032622
866063,1,1,1,1976,1,,1,1,5,60,60,2,1995,1,,,2,,11,,,,2,19,3,19,4,34,2,1,2,1,11,4,1,1,2,3,5,2,1.0364869017
866063,2,2,2,1976,1,,1,1,5,38,60,2,1994,1,,,13,,,,,,3,19,3,19,4,34,2,1,7,3,,5,0,0,2,3,5,2,1.0364869017
866063,3,1,6,2005,1,,1,2,1,,,,,,,,18,,,,,,,19,3,19,4,5,1,1,7,3,,5,0,0,2,3,5,2,1.0364869017
866063,4,2,6,2007,1,,4,2,1,,,,,,,,18,,,,,,,19,3,19,4,3,1,1,7,3,,5,0,1,2,3,5,2,1.0364869017
866064,1,1,1,1955,1,,2,1,7,100,110,2,1984,,,,7,,7,,,6,2,19,3,19,3,55,4,4,4,2,7,4,0,0,1,3,5,2,0.8213565685
866064,2,2,2,1954,1,,3,1,5,40,60,2,1973,1,,,16,,,,,,3,18,3,19,3,56,4,4,6,3,,5,1,1,1,3,5,2,0.8213565685
866064,3,1,6,1992,1,,1,2,3,,,,,,,,17,,,,,,,19,3,19,3,18,1,1,7,3,,5,0,0,1,3,5,2,0.8213565685
866065,1,2,1,1954,2,2007,2,4,5,8,10,2,1976,2,,,1,,19,3,,,1,,,3,1,56,4,4,1,1,19,4,1,1,1,1,1,1,1.2070833567
866070,1,2,1,1964,1,,2,1,4,,,,,,,,1,,19,,,,,3,1,3,3,46,3,3,1,1,19,4,0,1,3,1,1,1,1.3682816179
866070,2,1,2,1948,1,,2,1,5,8,10,2,1968,2,,,15,2,15,,,,2,3,1,3,3,62,4,4,6,3,15,5,1,1,3,1,1,1,1.3682816179
866070,3,1,6,1986,1,,1,2,5,78,100,2,2003,2,,,1,,7,,,,2,3,1,3,3,24,1,1,1,1,7,4,0,1,3,1,1,1,1.3682816179
866071,1,1,1,1970,1,,1,1,5,50,60,2,1989,2,,,2,,11,,,,2,3,1,3,4,40,2,2,2,1,11,4,1,1,2,1,1,1,1.7814726532
866071,2,2,2,1975,1,,1,1,5,7,10,2,1994,2,,,2,,17,,,,1,3,1,3,4,35,2,2,2,1,17,3,0,1,2,1,1,1,1.7814726532
866071,3,1,6,2000,1,,1,2,1,,,,,,,,17,,,,,,,3,1,3,4,10,1,1,7,3,,5,0,0,2,1,1,1,1.7814726532
866071,4,2,6,2003,1,,1,2,1,,,,,,,,17,,,,,,,3,1,3,4,7,1,1,7,3,,5,0,0,2,1,1,1,1.7814726532
