NQUEST,ANABIT,GODABIT,UNIPRO,ANPOSS,PRO1,PRO2,PRO3,PRO4,PRO5,PRO6,PRO7,PRO8,PRO9,POSS,IMPACQ,FITTONOP,TFITTONOP,TFITTO,TIPOAFF,DFITTOM,TFITTOM,PROPRIET,TFITIMP,UBIC1,SUPAB,ANCOSTR,BAGNI,VALABIT,ALTRAB,NALTRAB,ALTRFAB,NALTRFAB,TERAGR,NTERAGR,TERNAGR,NTERNAGR,ANTIC,ANTICIPI,MANSTRA,TMANSTRA,MANSTR2,TMANSTR2,ENERGIA,TENERGIA,DEBITA1,NDEBITA1,DEBITA2,NDEBITA2,CHIFINCONS,RITARDO,CREDIT,TCREDIT,DEBIT,TDEBIT,MUTUOR,MUTUOE,FMUTRIF,MUTUORIF,REAPMUT,MUTUORIC,DOCSEZD,DEBITC,NDEBITC,DEBITD,NDEBITD,DEBITE,NDEBITE,DEBITF,NDEBITF,QUOPRO
23823,2010,1,1,2009,0,1,0,0,0,0,0,0,0,2,200000,,,,,,,,500,2,115,2009,2,215000,2,,2,,2,,2,,2,,2,,2,,,,1,1,,,,2,2,,2,,1,1,,,,,2,0,,0,,0,,0,,100
23865,1985,1,1,1985,1,1,0,0,0,0,0,0,0,7,40000,,,,,,,,500,2,110,1985,2,200000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
23986,1967,1,1,1967,1,1,0,0,0,0,0,0,0,2,10000,,,,,,,,700,2,100,1966,1,350000,2,,1,1,2,,2,,2,,2,,2,,,,2,,2,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
24010,1968,3,1,1996,1,0,0,0,0,0,0,0,0,3,20000,,,,,,,,500,3,70,1968,1,100000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
24147,1983,1,1,1983,1,0,0,0,0,0,0,0,0,4,,,,,,,,,2000,4,200,1900,2,1500000,1,1,1,1,2,,2,,2,,2,,2,,,,2,,2,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
24149,1990,2,,,,,,,,,,,,,,,,100,5,2,,7,,3,60,1980,1,100000,2,,2,,2,,2,,2,,,,,,,,,,,,,,2,,2,,2,,,,,2,1,0,,0,,0,,0,,
24158,1968,1,2,1976,1,1,0,0,0,0,0,0,0,1,1500,2,,,,,,,500,6,115,1780,1,200000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,50
24171,2006,4,,,,,,,,,,,,,,,,,,,,2,500,4,60,1898,1,90000,2,,2,,2,,2,,2,,,,,,,,,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,
24194,1990,1,1,1990,1,1,0,0,0,0,0,0,0,3,30000,,,,,,,,800,3,100,1970,1,200000,1,1,2,,2,,2,,2,,2,,2,,,,2,,2,,4,2,2,,2,,2,,,,,2,2,1,1,0,,0,,0,,100
24195,1979,1,1,1999,1,1,0,0,0,0,0,0,0,3,30000,,,,,,,,300,3,74,1975,2,80000,2,,2,,2,,2,,2,,1,1000,2,,2,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
24202,1970,1,1,1970,1,0,0,0,0,0,0,0,0,1,20000,,,,,,,,600,2,100,1969,2,400000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
24326,1975,1,1,1970,1,0,0,0,0,0,0,0,0,7,500,,,,,,,,800,4,120,1970,2,500000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
24374,1967,1,1,1965,1,0,0,0,0,0,0,0,0,4,,,,,,,,,400,4,80,1940,2,150000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,1,2,2,,2,,2,,,,,2,2,1,1,0,,0,,0,,100
24379,1969,1,1,1979,1,0,0,0,0,0,0,0,0,2,3000,,,,,,,,400,3,94,1968,2,200000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
24382,1992,1,1,1990,1,0,0,0,0,0,0,0,0,5,8000,,,,,,,,100,6,65,1925,1,50000,2,,2,,1,1,2,,2,,2,,2,,,,2,,2,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
24393,1956,1,1,1956,1,0,0,0,0,0,0,0,0,2,1000,,,,,,,,400,4,80,1956,2,100000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
24529,1987,2,,,,,,,,,,,,,,,,870,6,1,1900,8,,3,99,1987,2,300000,2,,1,1,2,,2,,1,40000,2,,1,15000,2,,,,1,1,,2,2,,2,,1,1,,,,,2,0,,0,,0,,0,,
24616,2004,5,,,,,,,,,,,,,,,,,,,,2,700,6,50,1939,1,125000,2,,2,,2,,2,,2,,,,,,,,,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,
24760,1963,1,1,1999,1,0,0,0,0,0,0,0,0,3,45000,,,,,,,,500,4,75,1960,1,125000,2,,2,,2,,2,,2,,2,,2,,,,1,1,,,,2,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
24764,1989,1,1,1995,0,1,0,0,0,0,0,0,0,6,,,,,,,,,400,2,80,1960,2,200000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,1,2,2,,2,,1,1,,,,,2,0,,1,1,0,,0,,100
24809,1992,1,1,1992,1,0,0,0,0,0,0,0,0,1,265000,,,,,,,,800,3,118,1968,1,400000,2,,1,2,2,,2,,2,,1,1300,2,,2,,2,,2,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
24853,1991,1,1,1991,1,1,0,0,0,0,0,0,0,2,75000,,,,,,,,600,3,85,1991,2,250000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
