NQUEST,DEBM21,DEBRF21,TDEBITA21,TMUTUOAB21,MUTUOIN21,ANMUTUO21,MUTUODU21,TIPOTAX21,DEBGAR21_1,DEBGAR21_2,DEBGAR21_3,DEBGAR21_4,DEBPERS21,DEBM22,DEBRF22,TDEBITA22,TMUTUOAB22,MUTUOIN22,ANMUTUO22,MUTUODU22,TIPOTAX22,DEBGAR22_1,DEBGAR22_2,DEBGAR22_3,DEBGAR22_4,DEBPERS22,DEBM23,DEBRF23,TDEBITA23,TMUTUOAB23,MUTUOIN23,ANMUTUO23,MUTUODU23,TIPOTAX23,DEBGAR23_1,DEBGAR23_2,DEBGAR23_3,DEBGAR23_4,DEBPERS23,TAXFIS21,TAXVAR21,TAX21,TAXFIS22,TAXVAR22,TAX22,TAXFIS23,TAXVAR23,TAX23
854963,1,2,57000,6000,80000,2005,15,2,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,0,,,,,,
855304,1,2,190000,11000,240000,2009,25,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
855497,2,2,60000,8400,70000,2009,10,4,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856297,1,2,195000,12000,200000,2009,20,2,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05,0,,,,,,
856731,1,2,30000,2500,150000,2007,25,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,0,,,,,,
856755,1,2,67000,12000,67000,2002,15,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,0,,,,,,
856823,1,3,20000,10000,50000,2006,6,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02,,0,,,,,,
857273,1,2,9000,4500,21000,2008,5,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
857343,2,2,100000,800,120000,2005,30,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,0,,,,,,
857373,1,2,80000,7000,120000,2005,20,2,0,1,0,0,,1,2,60000,9000,125000,2001,15,2,0,1,0,0,,,,,,,,,,,,,,,,2,0,,3,0,,,
857692,1,2,200000,8500,250000,2007,25,2,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
858207,1,2,45000,6300,50000,2009,10,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,,0,,,,,,
859200,1,2,115000,8100,140000,2007,20,2,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
859321,1,2,100000,9000,100000,2010,10,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
859453,1,2,192000,10000,200000,2010,20,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.24,0,,,,,,
860227,1,2,50000,500,50000,2010,10,2,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,,,,,
860851,1,1,73000,3500,80000,2005,30,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,
861461,2,2,5000,500,5000,2010,10,1,0,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
863021,2,2,69200,800,70000,2010,20,2,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
863291,1,2,1200,7000,50000,2001,10,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
863695,2,2,50000,6000,50000,2009,15,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
864479,2,1,15000,4300,40000,2001,20,1,1,0,0,0,,2,1,90000,8640,100000,2007,20,2,1,1,0,0,,,,,,,,,,,,,,,,,1,,5.75,0,,,
864555,1,2,21000,3000,25000,2008,10,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
865964,1,2,105000,5000,150000,2002,15,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
866055,1,2,95000,5000,105000,2008,20,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07,,0,,,,,,
866057,2,2,120000,9000,120000,2009,15,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.64,,0,,,,,,
866064,1,2,20000,4000,25000,2009,8,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
867462,1,2,70000,7800,70000,2009,12,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.08,,0,,,,,,
867653,1,2,8000,3960,18000,2008,5,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
868098,1,2,98000,1500,100000,2010,30,2,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
868117,1,3,110000,7500,140000,2005,25,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
868474,1,2,25000,6000,70000,2003,10,2,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
868592,1,2,7000,3600,15000,2007,5,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,0,,,,,,
