NQUEST,NORD,INTPER,ATTIVP,PARTIME,CONTRATT,TUTTANNO,MESILAV,PUBBLICO,DIMAZ,ORETOT,PSTRA,ORESTRA,YLM,INTEG,YLNM,OREDES
33778,2,2,1,1,1,1,12,1,,36,2,,20000,2,0,30
33778,4,1,1,1,1,1,12,2,4,50,2,,8000,2,0,
33814,1,1,1,1,1,1,12,2,6,40,2,,40000,1,2000,0
33877,1,1,1,1,1,1,12,2,2,40,2,,18000,2,0,36
33877,2,1,1,2,1,1,12,2,1,24,2,,10000,2,0,
33882,3,1,1,1,1,1,12,2,4,36,2,,16000,2,0,
33937,3,2,1,1,1,1,12,2,6,40,2,,16000,2,0,
33937,3,2,2,2,1,1,12,2,1,30,2,,10000,2,0,
33983,1,1,1,1,1,1,12,1,,40,2,,48000,2,0,38
33983,2,2,1,1,1,1,12,1,,36,2,,22000,2,0,36
33985,2,1,1,1,1,1,12,1,,36,2,,22000,2,0,
33985,3,1,1,1,1,1,12,2,4,40,2,,19000,2,0,
33994,3,1,1,1,1,1,12,2,2,40,1,5,16000,2,0,
34059,1,1,1,1,1,1,12,1,,43,1,8,46000,1,2400,23
34198,1,1,1,1,1,1,12,2,1,48,2,,13000,2,0,48
34269,1,1,1,1,1,1,12,1,,36,1,0,19500,2,0,28
34269,2,2,1,1,1,1,12,2,4,32,1,4,28000,2,0,32
34396,1,1,1,1,1,1,12,1,,36,1,0,14000,2,0,36
34513,3,1,1,1,1,1,12,2,4,40,2,,13000,2,0,
34513,4,1,1,1,1,1,12,2,4,40,2,,13000,2,0,
34778,2,1,1,1,1,1,12,2,1,40,2,,12000,2,0,
34793,3,1,1,2,2,2,9,2,2,40,2,,5000,2,0,
34793,4,1,1,2,2,2,9,2,2,50,2,,6000,2,0,
34825,1,1,1,1,1,1,12,2,7,38,2,,23000,2,0,38
34825,2,1,1,1,1,1,12,1,,36,2,,21000,2,0,
34825,4,1,1,2,2,1,12,2,5,25,2,,11000,2,0,
34833,3,1,1,2,2,3,,1,,20,2,,800,2,0,
34833,3,1,2,2,2,3,,2,7,30,2,,2000,2,0,
34886,1,1,1,1,1,1,12,1,,50,2,,52000,2,0,50
34900,1,1,1,1,1,1,12,2,3,40,2,,26800,2,0,50
35022,1,1,1,1,1,1,12,2,1,40,2,,20000,2,0,40
35032,1,1,1,1,1,1,12,1,,36,2,,18000,2,0,36
35032,2,2,1,1,1,1,12,2,7,36,2,,21000,1,900,36
35326,1,1,1,1,1,1,12,2,7,60,2,,15000,2,0,60
35366,1,1,1,1,1,1,12,1,,40,2,,17000,2,0,40
35366,2,2,1,1,1,1,12,1,,24,2,,16000,2,0,24
35372,1,1,1,1,1,1,12,1,,36,2,,19000,2,0,36
35374,1,1,1,2,2,2,7,2,5,40,2,,11000,2,0,40
35374,2,1,1,1,1,1,12,1,,24,2,,13000,2,0,
35498,3,3,1,1,1,1,12,2,7,40,1,11,20000,2,0,51
35507,1,1,1,1,1,1,12,1,,36,1,5,18000,1,300,40
35507,4,1,1,1,1,1,12,1,,18,2,,19000,2,0,
35520,3,1,1,1,1,1,12,2,6,36,2,,9750,2,0,36
35588,1,1,1,1,1,1,12,1,,36,2,,18000,2,0,36
35588,2,1,1,1,2,2,10,1,,36,2,,13000,2,0,
35682,2,2,1,1,1,1,12,2,2,40,2,,25000,2,0,20
35682,4,1,1,1,2,1,12,2,4,40,2,,11000,2,0,
35735,1,1,1,1,1,1,12,2,5,40,2,,33750,2,0,40
35735,2,2,1,1,1,1,12,2,2,40,2,,23800,2,0,30
35788,1,1,1,1,1,1,12,1,,37,2,,18000,1,1000,37
36067,3,1,1,2,1,1,12,2,3,28,2,,11000,2,0,
36120,1,1,1,1,2,1,12,2,6,38,2,,11000,2,0,40
36120,2,2,1,1,1,1,12,2,6,40,2,,16000,2,0,40
36120,3,1,1,1,2,2,10,1,,38,2,,8500,2,0,
36130,1,1,1,1,1,1,12,2,5,40,2,,21000,2,0,45
36130,2,2,1,2,1,1,12,2,6,6,2,,1800,2,0,30
36131,1,1,1,2,1,1,12,1,,9,2,,13500,2,0,18
36131,2,1,1,1,1,1,12,2,7,36,1,4,21000,1,150,
36146,4,1,1,1,1,1,12,2,2,39,2,,11500,2,0,
36164,1,1,1,1,1,1,12,2,5,40,2,,15500,2,0,45
36164,3,1,1,1,1,1,12,2,2,40,2,,12000,2,0,
36186,2,2,1,1,2,2,3,1,,36,2,,4000,2,0,40
36250,1,1,1,1,1,1,12,1,,40,1,2,15600,2,0,40
36311,1,1,1,1,1,1,12,1,,38,1,2,24000,2,0,46
36321,4,1,1,1,1,1,12,2,6,36,2,,19000,2,0,
36333,2,2,1,1,1,1,12,2,2,40,2,,16000,2,0,40
36378,2,2,1,2,2,1,12,2,5,10,1,5,9000,1,300,30
36378,3,1,1,1,1,1,12,2,2,40,1,5,16000,2,0,
36409,1,1,1,1,1,1,12,1,,35,2,,23400,2,0,35
36409,2,1,1,1,1,1,12,1,,40,2,,22000,2,0,
36409,3,1,1,1,1,1,12,2,5,40,2,,15000,2,0,
36409,5,1,1,1,1,2,5,2,2,40,2,,4500,2,0,
36415,3,1,1,1,1,1,12,2,1,40,2,,13000,2,0,40
36427,2,2,1,2,1,1,12,2,2,20,2,,16000,2,0,20
36427,3,2,1,1,1,1,12,2,2,40,1,2,16000,2,0,
36443,1,1,1,1,1,1,12,2,7,40,2,,17500,1,1200,40
36443,2,2,1,2,1,1,12,1,,33,2,,15600,2,0,35
36450,1,1,1,1,1,2,9,2,2,40,2,,15300,2,0,40
36450,2,1,1,1,1,1,12,1,,30,2,,18200,2,0,
36450,3,1,1,1,1,1,12,2,2,40,2,,15600,2,0,
36522,1,1,1,1,1,1,12,1,,25,1,0,14000,2,0,40
36522,2,2,1,1,1,1,12,1,,27,1,2,20000,2,0,32
36524,1,1,1,1,1,1,12,2,2,40,2,,13000,2,0,
36524,4,1,1,1,1,1,12,2,2,40,2,,1200,2,0,
36697,1,1,1,1,1,1,12,2,7,36,2,,17000,2,0,36
36774,1,1,1,2,1,2,7,2,1,10,2,,1600,2,0,24
36891,1,1,1,1,1,1,12,2,4,40,1,4,19000,2,0,40
36893,1,1,1,1,1,1,12,2,7,36,2,,25000,2,0,36
37011,3,3,1,1,1,1,12,1,,9,2,,9550,2,0,18
37042,1,1,1,1,1,1,12,2,5,42,1,2,25000,2,0,40
37042,3,1,1,2,2,1,12,2,7,40,1,1,20000,2,0,
37286,2,1,1,1,1,1,12,1,,30,2,,18000,2,0,
37286,4,1,1,1,1,1,12,1,,20,2,,12000,2,0,
37299,1,1,1,1,2,1,12,2,1,30,2,,10000,2,0,30
37299,4,1,1,2,3,2,7,2,1,30,2,,18000,2,0,
37459,1,1,1,1,1,1,12,1,,35,1,2,15400,2,0,45
37665,1,1,1,1,1,1,12,1,,36,2,,15500,2,0,40
37665,2,1,1,1,1,1,12,2,5,40,1,5,15500,1,1500,
38016,1,1,1,1,1,1,12,2,7,36,2,,16800,2,0,36
38095,2,1,1,1,1,1,12,2,5,40,2,,16912,2,0,
38095,3,3,1,1,1,1,12,2,1,40,2,,12857,2,0,46
38112,1,1,1,1,1,1,12,2,5,36,2,,19500,2,0,36
38112,2,2,1,2,1,1,12,2,1,30,2,,16800,2,0,30
38135,1,1,1,2,2,1,12,2,2,70,2,,7000,2,0,30
38183,1,1,1,1,1,1,12,1,,36,2,,22000,2,0,45
38183,2,2,1,1,1,1,12,1,,36,2,,27000,2,0,36
38255,2,1,1,1,1,1,12,2,4,36,2,,20000,2,0,
38319,1,1,1,1,1,1,12,1,,36,1,1,20000,2,0,36
38489,1,1,1,1,1,1,12,2,7,50,2,,35000,2,0,50
38489,2,2,1,2,1,1,12,2,6,28,2,,13000,2,0,40
38493,2,2,1,1,1,1,12,2,7,38,2,,30000,1,952,38
38495,1,1,1,1,1,1,12,2,2,10,2,,10000,2,0,40
38495,2,2,1,1,1,1,12,1,,24,2,,23000,2,0,24
38554,1,1,1,1,1,1,12,2,4,40,2,,15600,2,0,50
38909,1,1,1,1,1,1,12,1,,25,1,1,16000,2,0,25
38913,2,2,1,1,1,1,12,2,4,38,2,,17000,2,0,38
38967,2,1,1,1,1,1,12,1,,30,2,,25000,2,0,
38977,3,1,1,1,1,1,12,2,3,40,2,,16000,2,0,
39056,1,1,1,1,1,1,12,1,,38,1,0,26000,1,1300,38
39056,2,2,1,1,1,1,12,1,,30,2,,11500,2,0,
39056,3,3,1,1,1,1,12,2,4,33,1,1,11000,2,0,
39284,3,1,1,1,1,1,12,1,,24,2,,16000,2,0,
39317,1,1,1,1,1,1,12,2,6,45,1,6,23100,2,0,50
39317,2,3,1,1,1,1,12,1,,40,2,,18046,2,0,
39436,3,2,1,1,2,1,12,2,2,49,2,,14300,2,0,
