NQUEST,NORD,INTPER,ENTEPEN,TIPOPEN,DECOR,TPENS,MESIPEN,ARRET,TARRET,QUOTAPE,NPENS
36403,1,1,1,1,1999,1000,13,2,0,70,1
36403,2,1,1,4,1995,200,13,2,0,,1
36415,1,1,1,1,2006,1200,13,2,0,70,1
36427,1,1,1,1,2009,1000,13,2,0,80,1
36450,1,1,1,1,2010,1500,3,1,3000,80,1
36494,1,1,1,1,1997,800,13,2,0,70,1
36494,2,2,1,7,1998,468,13,2,0,,1
36524,2,1,1,1,2006,2000,13,2,0,80,1
36524,3,1,1,1,1997,1300,13,2,0,80,1
36596,1,1,1,5,1981,591,13,2,0,,1
36697,1,1,1,5,1991,250,13,2,0,,1
36849,1,1,1,1,1972,600,13,2,0,50,1
36849,2,1,1,3,2008,460,12,2,0,,1
37001,1,1,1,1,1996,1700,13,2,0,80,1
37001,1,1,4,3,1976,1100,12,2,0,,2
37011,1,1,2,1,2004,1580,13,2,0,70,1
37011,2,2,2,1,2009,1510,13,2,0,70,1
37042,2,2,1,1,2006,1900,13,2,0,70,1
37504,1,1,1,1,1985,2400,13,2,0,80,1
37504,2,2,1,7,1990,450,13,1,200,,1
37521,1,1,2,1,2007,1700,13,1,6200,80,1
37665,3,1,1,2,1991,600,13,2,0,,1
37677,1,1,1,1,1996,2200,13,2,0,70,1
37721,1,1,2,1,1995,900,13,2,0,70,1
37721,2,1,1,1,1990,460,13,2,0,50,1
38014,2,1,1,1,2010,1800,13,2,0,85,1
38018,1,1,1,1,1990,673,13,2,0,50,1
38018,1,1,2,1,1975,1270,13,2,0,80,2
38106,1,1,2,1,1997,1830,13,2,0,90,1
38106,2,1,1,1,1990,460,13,2,0,90,1
38118,1,1,2,1,1985,1873,13,2,0,100,1
38121,1,1,2,1,1994,1150,13,2,0,100,1
38121,2,1,1,1,1991,860,13,2,0,80,1
38121,3,1,1,3,1988,280,13,2,0,,1
38121,3,1,1,4,1992,400,12,2,0,,3
38121,3,1,1,5,1985,400,13,2,0,,2
38128,1,1,1,1,2007,700,13,2,0,75,1
38169,1,1,6,1,1991,1200,12,2,0,60,1
38169,2,1,6,1,2000,800,12,2,0,50,1
38177,1,1,2,1,1977,1450,13,2,0,80,1
38177,2,2,1,3,1985,260,13,2,0,,1
38261,1,1,1,1,1994,1470,13,2,0,90,1
38261,2,1,1,4,2005,245,13,2,0,,1
38272,1,1,2,1,2002,1400,13,2,0,80,1
38349,1,1,1,1,1999,2000,13,2,0,90,1
38349,2,1,1,3,2005,300,13,2,0,,1
38362,1,1,1,1,1987,400,13,2,0,40,1
38362,1,1,1,5,2010,750,13,1,1500,,2
38481,1,1,1,1,1989,600,13,2,0,70,1
38481,1,1,1,3,2009,400,13,2,0,,3
38481,1,1,1,5,1988,650,13,2,0,,2
38493,1,1,1,1,1992,1800,13,2,0,80,1
38493,1,1,1,5,2008,300,13,2,0,,2
38496,1,1,1,1,2004,420,13,2,0,50,1
38496,1,1,1,5,2005,320,13,2,0,,2
38499,1,1,1,1,1985,1050,13,2,0,80,1
38499,2,2,1,1,1988,470,13,1,250,50,1
38797,1,1,1,1,1998,190,13,2,0,30,1
38797,1,1,1,5,1985,800,13,2,0,,2
38800,1,1,2,1,1991,1500,13,2,0,80,1
38877,1,1,1,1,2010,1800,13,2,0,90,1
38885,1,1,1,1,1996,1200,12,2,0,100,1
38903,1,1,1,1,1979,800,13,2,0,70,1
38939,2,1,1,1,1997,1700,13,2,0,80,1
38940,1,1,1,1,1994,600,13,2,0,70,1
38940,2,1,2,1,2006,1100,13,2,0,80,1
38957,1,1,1,1,1985,1400,13,2,0,80,1
38964,1,1,2,5,1982,830,13,2,0,,1
38964,1,1,98,98,2000,355,13,2,0,,2
38979,1,1,1,1,2000,600,13,2,0,70,1
38979,1,1,1,5,2000,215,13,2,0,,2
38992,1,1,2,1,1993,950,13,2,0,60,1
38992,2,1,1,1,2007,2500,13,2,0,70,1
38995,1,1,2,1,2008,1700,13,1,3000,80,1
39055,1,1,2,1,1986,1130,13,2,0,95,1
39055,1,1,2,4,1944,370,12,2,0,,2
