NQUEST,QUEST,NQUESTP,CONTINT,NOPCF,STUPCF,CONPCF,SETPCF,ANAPCF,CITPCF,NOMCF,STUMCF,CONMCF,SETMCF,ANAMCF,CITMCF,VITGEN,NGEN,VITF,NFRAT,NSORE,FIGLI,NFIGLI,PRIMOGE,PRIMOSEX,PRIMOANASC,NFIGLINOIT,PARNOIT,ANCONV,CAPI
859168,1,,2,1,2,1,4,1911,,1,2,1,2,1914,,2,,1,2,1,1,5,2,2,1968,,,1967,1
859191,2,,1,1,2,1,1,1915,,1,2,9,,1918,,2,,1,2,2,1,2,2,1,1969,,,1960,1
859194,2,,2,1,2,7,2,1919,,1,2,9,,1922,,1,1,1,3,1,1,2,2,1,1973,,,1971,1
859200,2,,1,1,5,4,4,1956,,1,5,3,3,1958,,1,4,1,2,1,2,,,,,,,2008,1
859203,2,,2,1,3,2,4,1957,,1,3,9,,1961,,1,2,1,1,1,2,,,,,,2,,1
859208,2,,1,2,,,,,,2,,,,,,1,1,1,2,2,2,,,,,,,2000,1
859212,2,,1,1,2,1,4,1898,,1,2,9,,1902,,2,,1,5,6,1,1,2,1,1955,,,1953,1
859214,1,,2,1,2,1,2,1942,,1,3,9,,1949,,1,3,1,0,1,2,,,,,,,2009,1
859237,2,,2,1,4,2,2,1896,1,1,2,9,,1896,1,2,,2,,,2,,,,,,,,1
859244,2,,2,1,2,1,3,1915,,1,2,9,,1919,,2,,1,3,2,1,1,2,2,1955,,,1960,1
859245,2,,3,1,3,1,4,1958,,1,3,1,4,1964,,1,4,1,1,0,2,,,,,,,2009,1
859255,2,,1,1,2,1,4,1904,,1,2,9,,1914,,2,,1,1,0,1,1,2,1,1967,,,1967,1
859257,2,,2,1,5,6,4,1950,,1,5,9,,1951,,1,2,1,1,0,2,,,,,,2,,1
859258,1,,4,1,1,8,1,1904,,1,1,9,,1910,,2,,1,1,2,1,3,2,2,1953,,,,1
859259,1,,2,1,1,8,4,1912,,1,2,9,,1921,,2,,1,0,2,1,1,2,1,1966,,,,1
859261,1,,2,1,2,1,2,1933,,1,2,1,2,1936,,1,3,1,1,0,2,,,,,,,1988,1
859263,1,,3,1,2,8,4,1943,,1,3,2,2,1949,,1,4,1,1,0,2,,,,,,,2007,1
859264,1,,2,1,3,1,2,1941,,1,3,9,,1948,,1,4,1,1,1,2,,,,,,,2002,1
859266,1,,3,1,2,9,,1905,,1,2,9,,1912,,2,,1,3,0,1,3,2,1,1962,,,1961,1
859271,2,,1,1,3,8,4,1934,,1,2,9,,1938,,1,4,1,3,0,2,,,,,,,1987,1
859273,2,,2,1,1,1,2,1913,,1,1,9,,1915,,2,,1,0,2,1,3,2,2,1955,,,,1
859280,2,,2,1,2,1,2,1929,,1,2,9,,1933,,1,3,1,1,0,2,,,,,,,1986,1
859282,2,,3,1,2,1,3,1948,,1,3,1,3,1950,,1,4,1,1,0,2,,,,,,,2005,1
859283,2,,3,1,3,1,4,1959,2,1,3,1,2,1958,2,1,4,1,0,4,2,,,,,,,2007,0
859285,2,,2,1,5,6,4,1923,,1,2,9,,1931,,1,1,1,1,0,2,,,,,,2,,1
859286,2,,2,1,3,1,4,1947,2,1,3,2,3,1947,2,1,4,1,2,2,2,,,,,,,1998,1
