NQUEST,YCF4,YCF,Y,YL,YL1,YL2,YT,YTP,YTP1,YTP2,YTA,YTA1,YTA2,YTA3,YTA31,YTA32,YM,YMA1,YMA2,YCA,YCA1,YCA2,YCF1,YCF2,YCF3,YC
25968,0,329.37136275,26579.371363,0,0,0,21450,21450,21450,0,0,0,0,0,0,0,0,0,0,4800,0,4800,12.664110007,0,316.70725275,5129.3713628
25970,0,0,17620,0,0,0,17620,12740,12740,0,4880,800,0,4080,4080,0,0,0,0,0,0,0,0,0,0,0
26048,0,2891.0547752,45791.054775,0,0,0,42900,42900,42900,0,0,0,0,0,0,0,0,0,0,0,0,0,46.384312988,0,2844.6704622,2891.0547752
26163,0,40.929778157,25940.929778,25900,25900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.929778157,0,0,40.929778157
26281,0,741.78622501,19711.786225,0,0,0,14170,14170,14170,0,0,0,0,0,0,0,0,0,0,4800,0,4800,37.99233002,703.79389499,0,5541.786225
26310,0,63.320550034,39163.32055,11000,11000,0,20800,20800,20800,0,0,0,0,0,0,0,0,0,0,7300,0,7300,63.320550034,0,0,7363.32055
26349,0,633.20550034,39313.2055,0,0,0,25480,25480,25480,0,0,0,0,0,0,0,0,0,0,13200,0,13200,633.20550034,0,0,13833.2055
26499,0,0,14550,0,0,0,9750,9750,9750,0,0,0,0,0,0,0,0,0,0,4800,0,4800,0,0,0,4800
26653,0,26.741221797,18896.741222,0,0,0,12870,12870,12870,0,0,0,0,0,0,0,0,0,0,6000,0,6000,26.741221797,0,0,6026.7412218
26684,0,0,19660,5600,5600,0,8060,8060,8060,0,0,0,0,0,0,0,0,0,0,6000,0,6000,0,0,0,6000
27109,0,0,12200,0,0,0,10400,10400,10400,0,0,0,0,0,0,0,0,0,0,1800,0,1800,0,0,0,1800
27114,0,0,10806,0,0,0,6606,6606,6606,0,0,0,0,0,0,0,0,0,0,4200,0,4200,0,0,0,4200
27116,0,63.320550034,18063.32055,0,0,0,13000,13000,13000,0,0,0,0,0,0,0,0,0,0,5000,0,5000,63.320550034,0,0,5063.32055
27123,0,126.64110007,23626.6411,0,0,0,14300,14300,14300,0,0,0,0,0,0,0,0,0,0,9200,0,9200,126.64110007,0,0,9326.6411001
27155,0,6.9652605037,100206.96526,7200,7200,0,0,0,0,0,0,0,0,0,0,0,15000,15000,0,78000,31200,46800,6.9652605037,0,0,78006.965261
27157,0,25.082688528,39225.082689,0,0,0,0,0,0,0,0,0,0,0,0,0,35000,15000,20000,4200,0,4200,25.082688528,0,0,4225.0826885
27224,1773.3951097,-1615.093735,61284.906265,17000,17000,0,16900,16900,16900,0,0,0,0,0,0,0,20000,20000,0,9000,0,9000,158.30137509,0,0,7384.9062654
27238,0,31.660275017,36131.660275,13200,13200,0,6100,0,0,0,6100,6100,0,0,0,0,0,0,0,16800,0,16800,31.660275017,0,0,16831.660275
27505,0,654.19218726,24054.192187,0,0,0,15600,15600,15600,0,0,0,0,0,0,0,0,0,0,7800,3000,4800,48.910725336,605.28146192,0,8454.1921873
27509,0,415.21749753,13565.217498,0,0,0,7150,7150,7150,0,0,0,0,0,0,0,0,0,0,6000,0,6000,63.320550034,351.8969475,0,6415.2174975
27730,0,188.97901835,33428.979018,2300,2300,0,20540,20540,20540,0,0,0,0,0,0,0,0,0,0,10400,5000,5400,20.92866035,0,168.050358,10588.979018
27734,0,28.840309296,27908.840309,0,0,0,16380,16380,16380,0,0,0,0,0,0,0,4500,4500,0,7000,0,7000,28.840309296,0,0,7028.8403093
27739,0,309.2359829,18143.235983,0,0,0,3874,3874,3874,0,0,0,0,0,0,0,0,0,0,13960,10960,3000,31.660275017,189.60147101,87.974236874,14269.235983
27742,0,103.97578392,29783.975784,6200,6200,0,7280,7280,7280,0,0,0,0,0,0,0,0,0,0,16200,0,16200,103.97578392,0,0,16303.975784
27744,0,448.04915133,34758.049151,0,0,0,17810,17810,17810,0,0,0,0,0,0,0,10000,10000,0,6500,0,6500,39.767676108,99.973290663,308.30818456,6948.0491513
27881,0,63.320550034,13263.32055,0,0,0,13200,13200,13200,0,0,0,0,0,0,0,0,0,0,0,0,0,63.320550034,0,0,63.320550034
27912,0,205.79178761,43305.791788,9400,7800,1600,26500,16900,16900,0,9600,9600,0,0,0,0,0,0,0,7200,0,7200,205.79178761,0,0,7405.7917876
27923,0,795.60869254,27275.608693,0,0,0,15680,15210,15210,0,470,470,0,0,0,0,0,0,0,10800,0,10800,91.814797549,0,703.79389499,11595.608693
27930,0,44.324385024,41644.324385,0,0,0,36400,36400,36400,0,0,0,0,0,0,0,0,0,0,5200,0,5200,44.324385024,0,0,5244.324385
27947,0,11.397699006,23401.397699,0,0,0,19190,18720,18720,0,470,470,0,0,0,0,0,0,0,4200,0,4200,11.397699006,0,0,4211.397699
28100,0,41.094627317,49841.094627,45000,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4800,0,4800,41.094627317,0,0,4841.0946273
28221,0,179.02298751,32569.022988,0,0,0,26390,26390,26390,0,0,0,0,0,0,0,0,0,0,6000,0,6000,179.02298751,0,0,6179.0229875
28331,0,42.420771271,27342.420771,0,0,0,11700,11700,11700,0,0,0,0,0,0,0,0,0,0,15600,0,15600,42.420771271,0,0,15642.420771
28346,0,93.100495114,17253.100495,0,0,0,9360,9360,9360,0,0,0,0,0,0,0,0,0,0,7800,0,7800,93.100495114,0,0,7893.1004951
28362,0,87.974236874,41788.974237,0,0,0,30901,30901,30901,0,0,0,0,0,0,0,0,0,0,10800,0,10800,0,87.974236874,0,10887.974237
28441,0,395.80604374,44195.806044,21000,21000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22800,0,22800,352.4119293,0,43.394114433,23195.806044
28802,0,127.32128679,50627.321287,18500,18500,0,0,0,0,0,0,0,0,0,0,0,23000,23000,0,9000,0,9000,127.32128679,0,0,9127.3212868
28859,0,20.333420181,31920.33342,0,0,0,24700,24700,24700,0,0,0,0,0,0,0,0,0,0,7200,0,7200,20.333420181,0,0,7220.3334202
28897,0,190.86781075,24030.867811,0,0,0,16640,16640,16640,0,0,0,0,0,0,0,0,0,0,7200,0,7200,106.80017788,0,84.067632867,7390.8678108
28920,0,178.32308934,55710.323089,0,0,0,23532,23532,23532,0,0,0,0,0,0,0,0,0,0,32000,13200,18800,178.32308934,0,0,32178.323089
28992,0,561.5215439,49361.521544,0,0,0,23400,23400,23400,0,0,0,0,0,0,0,12000,0,12000,13400,0,13400,63.153525268,0,498.36801863,13961.521544
29006,0,237.86770615,56462.867706,0,0,0,30225,30225,30225,0,0,0,0,0,0,0,20000,20000,0,6000,0,6000,44.324385024,0,193.54332112,6237.8677061
29140,0,515.85584441,54065.855844,15000,15000,0,14950,14950,14950,0,0,0,0,0,0,0,14000,0,14000,9600,0,9600,75.984660041,0,439.87118437,10115.855844
29280,4876.8365516,-4656.68393,80143.31607,50200,45000,5200,0,0,0,0,0,0,0,0,0,0,1000,1000,0,33600,0,33600,96.988689698,0,123.16393162,28943.31607
29286,0,0,12050,0,0,0,8450,8450,8450,0,0,0,0,0,0,0,0,0,0,3600,0,3600,0,0,0,3600
29288,0,63.320550034,25063.32055,0,0,0,0,0,0,0,0,0,0,0,0,0,16000,16000,0,9000,0,9000,63.320550034,0,0,9063.32055
29678,0,6.1790246623,20506.179025,0,0,0,14300,14300,14300,0,0,0,0,0,0,0,0,0,0,6200,0,6200,6.1790246623,0,0,6206.1790247
29680,0,22.839750541,16622.839751,13000,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,0,3600,22.839750541,0,0,3622.8397505
29684,0,240.14773627,54540.147736,38500,38500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15800,0,15800,41.48452343,0,198.66321284,16040.147736
29737,1507.3858432,-1361.748578,65238.251422,57000,57000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9600,0,9600,145.63726508,0,0,8238.2514218
29742,0,0,55740,23000,23000,0,10740,11040,11040,0,-300,0,0,-300,0,300,10000,10000,0,12000,0,12000,0,0,0,12000
29774,0,65.925191588,14715.925192,0,0,0,11050,11050,11050,0,0,0,0,0,0,0,0,0,0,3600,0,3600,65.925191588,0,0,3665.9251916
29798,0,177.87391479,34677.873915,0,0,0,27300,27300,27300,0,0,0,0,0,0,0,0,0,0,7200,0,7200,177.87391479,0,0,7377.8739148
29823,0,6.3320550034,41426.332055,27000,27000,0,9620,9620,9620,0,0,0,0,0,0,0,0,0,0,4800,0,4800,6.3320550034,0,0,4806.332055
31066,0,0,31250,15000,15000,0,16250,16250,16250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31092,0,638.54786063,50810.547861,43572,41972,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,6600,0,6600,338.49385743,300.0540032,0,7238.5478606
31093,0,21.043221644,25221.043222,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,18000,0,7200,0,7200,21.043221644,0,0,7221.0432216
31120,0,1074.0985102,60551.09851,0,0,0,51077,51077,51077,0,0,0,0,0,0,0,0,0,0,8400,0,8400,876.5408963,0,197.55761388,9474.0985102
31122,0,31.660275017,38031.660275,32000,32000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,0,6000,31.660275017,0,0,6031.660275
31137,0,1035.2169792,85235.216979,65000,65000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19200,0,19200,161.89829972,487.70064481,385.61803465,20235.216979
31145,0,98.911209536,31506.91121,0,0,0,31408,31408,31408,0,0,0,0,0,0,0,0,0,0,0,0,0,98.911209536,0,0,98.911209536
31161,0,41.158357522,44741.158358,37500,37500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,0,7200,41.158357522,0,0,7241.1583575
31163,0,88.648770048,36088.64877,0,0,0,0,0,0,0,0,0,0,0,0,0,30000,30000,0,6000,0,6000,88.648770048,0,0,6088.64877
31191,0,31.660275017,24341.660275,0,0,0,24310,24310,24310,0,0,0,0,0,0,0,0,0,0,0,0,0,31.660275017,0,0,31.660275017
31219,0,31.660275017,11431.660275,0,0,0,7800,7800,7800,0,0,0,0,0,0,0,0,0,0,3600,0,3600,31.660275017,0,0,3631.660275
31220,0,617.84325764,69877.843258,0,0,0,27560,27560,27560,0,0,0,0,0,0,0,4000,4000,0,37700,25000,12700,265.94631014,0,351.8969475,38317.843258
31221,0,22.162192512,54822.162193,0,0,0,26000,26000,26000,0,0,0,0,0,0,0,0,0,0,28800,0,28800,22.162192512,0,0,28822.162193
31246,0,478.51622058,31042.516221,0,0,0,26364,26364,26364,0,0,0,0,0,0,0,0,0,0,4200,0,4200,393.65827384,84.857946736,0,4678.5162206
31281,0,274.68249048,39074.68249,0,0,0,10400,10400,10400,0,0,0,0,0,0,0,20000,20000,0,8400,0,8400,183.26505782,0,91.417432661,8674.6824905
31304,0,1243.8556125,54223.855612,0,0,0,24180,24180,24180,0,0,0,0,0,0,0,0,0,0,28800,0,28800,100.37929504,0,1143.4763174,30043.855612
31309,0,1213.9922176,68113.992218,38000,38000,0,10800,10800,10800,0,0,0,0,0,0,0,0,0,0,18100,0,18100,158.30137509,0,1055.6908425,19313.992218
31387,0,1756.5304351,40816.530435,27060,26700,360,3000,0,0,0,3000,0,0,3000,3000,0,0,0,0,9000,0,9000,30.325976558,592.17018147,1134.034277,10756.530435
31403,0,53.822467529,34363.822468,13000,13000,0,16510,16510,16510,0,0,0,0,0,0,0,0,0,0,4800,0,4800,53.822467529,0,0,4853.8224675
31441,0,309.69539385,53474.695394,0,0,0,35165,35165,35165,0,0,0,0,0,0,0,0,0,0,18000,0,18000,309.69539385,0,0,18309.695394
31448,0,1822.8052875,45474.805288,0,0,0,23452,23452,23452,0,0,0,0,0,0,0,0,0,0,20200,0,20200,63.320550034,1407.58779,351.8969475,22022.805288
31556,0,3.1660275017,22897.166028,0,0,0,18694,18694,18694,0,0,0,0,0,0,0,0,0,0,4200,0,4200,3.1660275017,0,0,4203.1660275
