NQUEST,TIPOIMM,QUOPRO,PRO1,PRO2,PRO3,PRO4,PRO5,PRO6,ANPOSS,SUPAB,ANCOSTR,SUPTE,SUPTM,USOIMM,VALABIT,AFFITTO,AFFEFF,AFFIMP,POSS,IMMDOVE,IMMREG,IMMEST,PRO7,PRO8,PRO9,quo
31281,4,100,1,0,0,0,0,0,1985,100,1985,,,2,120000,2,,30000,1,1,,,0,0,0,1
31304,1,33,1,0,0,0,0,0,1987,170,1920,,,3,600000,2,,14400,3,1,,,0,0,0,0.33
31309,1,100,1,0,0,0,0,0,1970,150,1970,,,3,350000,2,,8400,3,1,,,0,0,0,1
31309,7,100,0,1,0,0,0,0,,,,2,,11,20000,2,,2000,3,1,,,0,0,0,1
31309,8,100,1,0,0,0,0,0,,,,,100,11,10000,2,,500,3,1,,,0,0,0,1
31387,6,100,1,1,0,0,0,0,1988,21,1985,,,3,10000,2,,600,1,1,,,0,0,0,1
31448,1,100,1,0,0,0,0,0,1967,110,1967,,,8,230000,2,,7000,3,1,,,0,0,0,1
31448,1,100,1,0,0,0,0,0,2003,45,1968,,,14,120000,2,,4800,2,1,,,0,0,0,1
31625,1,100,1,0,0,0,0,0,1990,65,1980,,,1,80000,2,,3600,3,2,16,,0,0,0,1
31625,7,100,1,0,0,0,0,0,,,,2,,9,25000,2,,600,3,2,16,,0,0,0,1
31652,1,100,0,1,0,0,0,0,1977,90,1966,,,4,120000,1,2500,0,3,1,,,0,0,0,1
32198,1,100,1,1,0,0,0,0,1972,80,1960,,,1,150000,2,,4920,1,1,,,0,0,0,1
32209,1,100,0,0,1,0,0,0,2008,75,2008,,,,130000,2,,6000,6,1,,,0,0,0,1
32209,8,100,0,1,0,0,0,0,,,,,2000,1,70000,2,,8000,1,1,,,0,0,0,1
32288,8,33,1,0,0,0,0,0,,,,1,,11,5000,2,,50,3,1,,,0,0,0,0.33
32464,7,100,1,0,0,0,0,0,,,,1,,9,15000,2,,300,3,1,,,0,0,0,1
32470,7,100,1,0,0,0,0,0,,,,,3300,2,5000,2,,200,1,1,,,0,0,0,1
32668,6,100,1,0,0,0,0,0,1990,25,1950,,,3,15000,2,,1200,3,1,,,0,0,0,1
32668,7,100,0,1,0,0,0,0,,,,,8000,9,10000,2,,1200,3,1,,,0,0,0,1
32709,4,100,1,1,0,0,0,0,1976,250,1955,,,5,1300000,1,17000,0,1,1,,,0,0,0,1
32713,3,10,0,0,0,1,0,0,2005,600,1960,,,2,600000,2,,40000,1,1,,,0,0,0,0.1
32729,1,100,1,1,0,0,0,0,2002,230,2002,,,14,450000,2,,8500,6,1,,,0,0,0,1
32751,1,100,1,0,0,0,0,0,1973,45,1973,,,1,200000,2,,4000,1,1,,,0,0,0,1
32765,1,33,0,1,0,0,0,0,1980,70,1600,,,1,250000,2,,4000,1,1,,,0,0,0,0.33
32810,7,100,1,0,0,0,0,0,,,,,3000,9,10000,2,,150,3,1,,,0,0,0,1
32887,1,50,1,0,0,0,0,0,2003,110,1962,,,4,250000,1,12000,0,3,1,,,0,0,0,0.5
32887,4,50,1,0,0,0,0,0,2003,370,1962,,,4,450000,1,33500,0,3,1,,,0,0,0,0.5
32962,1,100,0,1,0,0,0,0,2005,85,1953,,,1,200000,2,,2500,3,2,15,,0,0,0,1
33328,7,100,1,0,0,0,0,0,,,,3,,9,20000,2,,1200,3,1,,,0,0,0,1
33335,3,100,1,1,0,0,0,0,1998,80,1930,,,2,70000,2,,7200,5,1,,,0,0,0,1
33335,3,100,1,1,0,0,0,0,1998,120,1930,,,2,20000,2,,1000,5,1,,,0,0,0,1
33335,3,100,1,1,0,0,0,0,1998,120,1930,,,2,150000,2,,12000,5,1,,,0,0,0,1
33335,7,100,1,1,0,0,0,0,,,,10,,2,100000,2,,5000,5,1,,,0,0,0,1
33335,8,100,1,1,0,0,0,0,,,,6,,3,30000,2,,600,5,1,,,0,0,0,1
33336,7,100,0,1,0,0,0,0,,,,2,,11,3000,2,,300,3,1,,,0,0,0,1
33348,1,100,0,1,0,0,0,0,2003,72,2003,,,14,130000,2,,3600,6,1,,,0,0,0,1
33348,7,100,1,1,0,0,0,0,,,,3,,3,300000,2,,6000,1,1,,,0,0,0,1
33348,8,100,1,1,0,0,0,0,,,,4,,11,20000,2,,2400,1,1,,,0,0,0,1
33455,6,100,1,0,0,0,0,0,2003,25,1990,,,3,30000,2,,2400,1,1,,,0,0,0,1
33455,4,100,1,0,0,0,0,0,1999,18,1930,,,5,60000,1,3600,0,1,1,,,0,0,0,1
33644,1,100,1,0,0,0,0,0,1995,60,1930,,,8,40000,2,,3600,3,1,,,0,0,0,1
33751,1,100,1,1,0,0,0,0,2006,75,1960,,,1,150000,2,,4200,1,2,1,,0,0,0,1
33761,1,100,1,1,0,0,0,0,1985,100,1900,,,3,150000,2,,6000,3,1,,,0,0,0,1
33761,1,100,1,1,0,0,0,0,1985,100,1900,,,4,170000,1,7200,0,3,1,,,0,0,0,1
33761,1,100,1,1,0,0,0,0,1985,120,1900,,,4,170000,1,6000,0,3,1,,,0,0,0,1
33761,1,100,1,1,0,0,0,0,1985,180,1900,,,4,180000,1,10800,0,3,1,,,0,0,0,1
33761,1,100,1,1,0,0,0,0,1985,180,1955,,,3,240000,2,,7200,1,1,,,0,0,0,1
33761,3,100,1,1,0,0,0,0,1990,80,1900,,,4,150000,1,9600,0,3,1,,,0,0,0,1
33777,1,100,0,0,0,1,0,0,2006,150,1840,,,5,150000,1,12000,0,1,1,,,0,0,0,1
33777,7,100,1,0,0,0,0,0,,,,,3200,11,10000,2,,200,1,1,,,0,0,0,1
33778,1,100,1,1,0,0,0,0,1991,120,1990,,,4,100000,1,3000,0,3,1,,,0,0,0,1
33778,4,100,1,1,0,0,0,0,2004,70,2003,,,5,100000,1,3600,0,2,1,,,0,0,0,1
33778,7,100,1,0,0,0,0,0,,,,,5000,10,15000,2,,500,3,1,,,0,0,0,1
33814,1,100,1,0,0,0,0,0,1990,80,1980,,,4,150000,1,6000,0,3,1,,,0,0,0,1
33839,6,100,1,0,0,0,0,0,1979,20,1979,,,3,16000,2,,1200,6,1,,,0,0,0,1
33941,1,100,1,1,0,0,0,0,2007,80,1900,,,1,15000,2,,1800,3,2,14,,0,0,0,1
33941,7,100,1,0,0,0,0,0,,,,2,,11,10000,2,,1000,3,2,14,,0,0,0,1
33983,1,100,1,0,0,0,0,0,2003,40,2003,,,4,100000,1,4000,0,2,1,,,0,0,0,1
33985,1,100,1,0,0,0,0,0,2007,80,1960,,,4,120000,1,4800,0,3,1,,,0,0,0,1
33994,7,33,1,0,0,0,0,0,,,,,2000,11,2000,2,,100,3,1,,,0,0,0,0.33
34059,1,33,1,0,0,0,0,0,2009,60,1930,,,14,60000,2,,300,3,1,,,0,0,0,0.33
34199,1,100,1,1,0,0,0,0,1955,220,1955,,,8,120000,2,,6000,1,1,,,0,0,0,1
34800,7,100,1,0,0,0,0,0,,,,3,,2,20000,2,,300,4,1,,,0,0,0,1
34800,7,100,1,0,0,0,0,0,,,,2,,2,20000,2,,300,3,1,,,0,0,0,1
34825,1,100,1,0,0,0,0,0,2009,65,2009,,,14,230000,2,,2400,2,1,,,0,0,0,1
34833,1,100,1,0,0,0,0,0,1968,38,1967,,,1,100000,2,,2000,1,1,,,0,0,0,1
35005,7,100,1,0,0,0,0,0,,,,,9000,14,2000,2,,100,3,2,16,,0,0,0,1
35032,6,100,1,1,0,0,0,0,1998,15,1997,,,3,10000,2,,1500,98,1,,,0,0,0,1
35322,1,100,1,0,0,0,0,0,1962,50,1900,,,2,50000,2,,2400,3,1,,,0,0,0,1
35322,7,100,1,0,0,0,0,0,,,,1,,9,15000,2,,1200,3,1,,,0,0,0,1
