NQUEST,DEPC,NDEPC,IDEPC,LIB,NLIB,ILIB,CTIT,NCTIT,ICTIT,UNABAN,BANCHE,ANNIBAN,PREFBA1,PREFBA2,PREFBA3,PREFBA4,PREFBA5,PREFBA6,PREFBA7,PREFBA8,PREFBA9,PREFBA10,PREFBA11,PREFBA12,PREFBA13,SERVB1,SERVB2,SERVB3,SERVB4,SERVB5,SERVB6,SERVB7,SERVB8,SERVB9,SERVB10,SERVB11,SERVB12,SERVB13,SERVB14,FIDBANC,PRIVATEB,SCOPER,UTSCOPER,FSCOPER1,FSCOPER,CARTA,CARTE,USOCART,CARTDEB1,CARTDEB,BANCOMAT,NBANCOMA,CARTAPRE,NCARTAPRE,SPESECON,COLDIS
23797,1,1,2,2,,,2,,,1,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,2,,,,2,,,,,1,1,2,,900,2
23798,1,1,2,2,,,2,,,1,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,,,,2,,,,,2,,2,,900,2
23821,1,1,2,2,,,2,,,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,2,1,2,,,2,,,,,1,1,2,,1000,2
23823,1,2,2,2,,,2,,,2,2,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7,2,1,2,,,2,,,,,1,2,2,,1200,2
23865,1,1,2,2,,,2,,,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,2,2,,,,1,3,3,1,,1,1,2,,400,2
23986,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,750,2
24010,1,1,1,2,,,2,,,1,1,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,2,3,,,,2,,,,,2,,2,,900,2
24147,1,2,2,1,1,,1,1,1,1,1,4,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,8,2,1,2,,,1,2,1,,,1,2,2,,800,1
24149,1,1,1,2,,,2,,,1,1,4,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,9,2,2,,,,2,,,,,1,1,2,,450,2
24158,1,2,2,2,,,2,,,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,2,3,,,,2,,,,,1,1,2,,900,2
24171,1,1,1,2,,,2,,,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,2,1,2,,,2,,,,,2,,2,,800,2
24194,1,3,4,2,,,2,,,2,3,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,2,2,,,,2,,,,,1,3,1,1,1500,2
24195,1,1,2,2,,,2,,,1,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,7,2,2,,,,2,,,,,2,,1,1,500,2
24202,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,1200,2
24326,1,1,1,2,,,2,,,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,10,2,2,,,,2,,,,,2,,2,,100,2
24374,1,2,2,2,,,2,,,1,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8,2,1,2,,,2,,,,,1,2,2,,700,2
24379,1,1,1,2,,,2,,,1,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,2,1,2,,,2,,,,,2,,2,,700,2
24382,2,,,1,1,2,,,,1,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7,2,,,,,2,,,,,2,,2,,1000,2
24393,1,1,1,1,1,1,2,,,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,2,2,,,,2,,,,,2,,2,,800,2
24529,1,4,4,2,,,2,,,2,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,4,2,1,2,,,1,1,2,,,1,4,1,3,3500,2
24616,1,1,2,2,,,2,,,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,10,2,3,,,,2,,,,,1,1,2,,500,2
24760,2,,,1,1,1,,,,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,,,,,2,,,,,2,,2,,600,2
24764,1,1,2,2,,,2,,,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8,2,1,2,,,1,1,2,,,1,1,2,,300,2
24809,1,1,1,1,1,1,1,1,1,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,8,2,2,,,,1,1,1,,,2,,2,,800,2
24853,1,1,2,2,,,1,1,2,1,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,7,2,2,,,,2,,,,,1,2,2,,800,1
24885,1,1,1,2,,,2,,,1,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,3,,,,2,,,,,2,,2,,700,2
24924,1,2,2,2,,,2,,,2,2,3,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,7,2,1,1,,4000,1,2,2,,,1,4,2,,600,1
24984,1,4,4,2,,,2,,,2,2,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2,2,,,,2,,,,,1,1,2,,1800,2
25007,1,1,1,2,,,2,,,1,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6,2,1,2,,,2,,,,,1,1,2,,650,2
25138,1,1,1,2,,,2,,,1,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,2,1,1,1,,2,,,,,1,1,2,,1250,2
25148,1,1,2,2,,,2,,,1,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,10,2,1,2,,,1,1,3,1,,1,2,2,,2300,2
25245,1,1,1,2,,,2,,,1,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,2,2,,,,2,,,,,2,,2,,1100,2
25435,1,2,2,2,,,2,,,2,2,4,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,0,0,3,1,1,2,,,1,4,3,1,,1,2,1,2,900,1
25625,1,2,1,2,,,2,,,2,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,8,2,2,,,,1,2,2,,,1,2,2,,1200,2
25930,1,1,2,2,,,1,1,2,1,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,8,2,2,,,,1,1,1,,,1,1,2,,1500,2
25968,1,1,2,2,,,2,,,1,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,9,1,1,2,,,1,1,2,,,1,1,2,,1200,1
25970,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,980,2
26048,1,2,2,2,,,1,1,2,2,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,1,0,0,8,2,1,2,,,1,1,2,,,1,2,2,,1100,1
26163,1,1,2,2,,,2,,,1,1,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,7,2,2,,,,2,,,,,1,2,2,,1000,2
26281,1,1,1,2,,,2,,,1,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,9,2,3,,,,2,,,,,1,1,2,,600,2
26310,1,1,2,2,,,2,,,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,2,2,,,,1,1,1,,,1,2,2,,1000,2
26349,1,1,2,2,,,2,,,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,6,2,1,2,,,1,1,1,,,1,1,2,,1500,2
26499,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,750,2
26653,1,1,1,2,,,2,,,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,9,2,2,,,,2,,,,,2,,2,,500,2
26684,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,850,2
27109,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,800,2
27114,2,,,1,1,1,,,,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,2,,,,,2,,,,,2,,2,,650,2
27116,1,1,2,2,,,2,,,1,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,2,2,,,,2,,,,,1,1,1,1,900,2
27123,1,1,2,2,,,2,,,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,2,1,2,,,1,1,1,,,1,1,2,,600,2
27155,1,2,1,1,2,2,2,,,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,2,2,,,,2,,,,,1,1,2,,1300,2
27157,2,,,1,1,1,,,,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,,,,,2,,,,,2,,2,,1000,2
27224,1,1,2,2,,,2,,,1,1,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,10,2,1,2,,,2,,,,,1,2,2,,500,2
27238,1,1,2,2,,,2,,,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,10,2,1,2,,,2,,,,,1,2,2,,1500,2
27505,1,1,1,2,,,2,,,1,1,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,8,2,2,,,,1,1,2,,,1,1,2,,300,2
27509,1,1,1,2,,,2,,,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,2,,,,2,,,,,1,1,2,,500,2
27730,1,1,2,2,,,2,,,1,1,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,6,2,1,2,,,2,,,,,1,2,2,,700,2
27734,1,1,2,2,,,2,,,1,1,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,8,2,2,,,,2,,,,,1,2,1,1,700,2
27739,1,1,1,2,,,1,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,8,2,1,2,,,2,,,,,2,,2,,1000,2
