NQUEST,FIDGEN,FID1,FID2,FID3,FID4,FID5,FID6,FID7,FID8,SOCGEN,SOC1,SOC2,SOC3,SOC4,SOC5,SOC6,EDUC1,EDUC2,EDUC3,EDUC4,EDUC5,EDUC6,GIUSTIZ1,NSGIUSTIZ2,GIUSTIZ2,HAPPY
683727,1,10,1,1,1,1,1,1,5,1,10,10,10,10,10,10,10,10,10,10,10,10,2,,20000,
683869,7,8,8,8,8,7,6,5,7,6,8,8,8,8,8,8,8,8,8,8,8,8,2,,3000,
683881,7,10,8,8,7,7,7,1,4,1,8,9,9,9,7,7,8,9,9,9,9,9,2,1,,
683896,5,9,7,4,5,4,2,2,5,5,3,9,9,9,4,9,4,3,9,9,5,5,2,1,,
683897,1,5,1,1,1,1,1,1,1,5,1,3,5,9,7,3,2,9,9,9,7,5,1,,5000,
683910,1,10,8,10,10,10,6,6,8,1,10,10,10,10,10,10,10,10,10,10,10,10,2,1,,
683970,7,9,9,9,8,8,8,8,7,2,8,8,9,9,7,8,9,8,9,9,9,8,2,1,,
683980,7,10,9,8,7,7,6,5,4,3,7,9,8,8,8,7,8,7,7,7,8,6,2,,20000,
684000,5,9,7,7,6,6,6,6,1,5,6,6,6,7,7,7,6,7,7,7,7,7,2,1,,
684035,7,9,9,8,8,7,7,7,8,1,6,10,10,6,6,6,10,10,10,6,6,6,2,1,,7
684131,7,10,8,7,7,7,6,5,5,10,5,10,10,10,8,8,7,10,10,10,8,8,2,1,,9
684192,6,10,8,6,6,5,5,4,6,9,9,9,9,10,9,9,9,9,9,10,9,9,2,,10000,9
684217,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2,1,,
684218,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,1,,
684229,8,10,9,8,6,8,8,8,5,1,8,10,10,10,8,6,10,10,10,8,8,7,2,,10000,
684240,6,9,8,7,6,6,6,5,6,8,8,8,9,9,8,8,8,9,9,9,7,8,2,,5000,8
684280,9,3,6,7,8,7,6,7,7,6,8,7,7,6,7,8,6,7,8,7,6,7,2,,100,
684290,7,8,8,8,8,8,8,1,8,2,8,8,8,8,8,8,8,8,8,8,8,8,2,1,,
684326,6,9,7,6,6,6,6,6,6,8,8,7,8,8,8,8,7,7,8,8,8,8,2,1,,
684330,5,8,8,6,6,6,6,5,3,1,10,6,8,6,8,8,10,8,8,6,8,8,2,,20000,8
684333,6,9,9,7,6,6,6,6,6,3,8,8,10,9,7,8,8,9,10,7,7,8,2,,10000,
684423,8,9,8,8,8,8,9,9,7,8,7,8,8,9,8,8,8,9,9,9,9,8,2,1,,
684491,2,10,10,8,7,7,7,7,8,1,7,9,9,9,8,8,7,9,9,9,8,7,2,2,,
684496,1,10,9,1,5,5,5,1,1,1,10,10,10,7,7,8,10,10,10,6,8,8,1,,5000,7
684503,2,10,8,6,7,8,7,7,8,7,10,10,9,8,8,9,10,10,10,8,7,8,2,1,,
684507,7,8,9,7,8,7,7,7,6,3,9,9,10,9,8,8,8,9,10,9,8,8,2,1,,
684524,1,10,7,7,7,5,1,1,1,1,5,10,10,10,5,10,5,10,10,10,5,10,2,2,,
684539,1,10,8,8,8,8,2,2,8,1,5,10,10,6,7,9,5,10,10,6,7,9,2,2,,
684557,1,10,10,10,10,10,6,7,7,1,10,10,10,10,10,10,10,10,10,10,10,10,2,1,,
