nquest,pro1,pro2,pro3,pro4,pro5,pro6,tipoimm,quopro,pro7,pro8,pro9,pro10,anposs,supab,ancostr,supte,suptm,usoimm,valabit,affitto,affeff,affimp,poss,immdove,immreg,immest
32209,2,,,,,,7,100,0,0,0,0,,,,,2000,9,30000,2,0,2500,1,1,,
32470,1,,,,,,7,100,0,0,0,0,,,,,2000,9,10000,2,0,100,3,1,,
32524,1,2,,,,,7,100,0,0,0,0,,,,,5000,3,1000,2,0,100,1,1,,
32524,1,,,,,,6,100,0,0,0,0,2011,18,2011,,,2,20000,2,0,720,1,1,,
32524,2,,,,,,1,100,0,0,0,0,1984,54,1953,,,8,70000,2,0,4800,3,1,,
32524,1,2,,,,,1,100,0,0,0,0,1989,80,1989,,,1,150000,2,0,3000,6,1,,
32709,1,2,,,,,4,100,0,0,0,0,1978,250,1960,,,2,400000,1,16800,,1,1,,
32729,1,2,,,,,1,100,0,0,0,0,2000,180,2000,,,14,450000,2,0,600,6,1,,
32751,1,,,,,,1,100,0,0,0,0,1976,45,1973,,,1,180000,2,0,4000,1,1,,
32765,2,,,,,,1,33,0,0,0,0,1980,70,1600,,,1,250000,2,0,4000,1,1,,
32810,1,,,,,,7,100,0,0,0,0,,,,2,,11,10000,2,0,400,3,1,,
32887,1,,,,,,1,50,0,0,0,0,2003,110,1962,,,13,200000,2,0,7500,3,1,,
32887,1,,,,,,1,50,0,0,0,0,2003,110,1962,,,4,200000,1,7500,,3,1,,
32887,1,,,,,,1,50,0,0,0,0,2003,300,1962,,,5,800000,1,30000,,3,1,,
32962,2,,,,,,1,100,0,0,0,0,1977,80,1954,,,1,150000,2,0,5000,3,2,15,
33328,1,,,,,,7,100,0,0,0,0,,,,3,,9,50000,2,0,1200,3,1,,
33335,1,2,,,,,8,100,0,0,0,0,,,,4,,3,35000,2,0,800,5,1,,
33335,1,2,,,,,7,100,0,0,0,0,,,,14,,10,150000,2,0,2400,5,1,,
33335,1,2,,,,,3,100,0,0,0,0,1995,300,1900,,,3,400000,2,0,6000,5,1,,
33336,2,,,,,,7,100,0,0,0,0,,,,,1800,11,5000,2,0,300,1,1,,
33348,2,,,,,,8,100,0,0,0,0,,,,4,,11,15000,2,0,600,1,1,,
33348,2,,,,,,7,100,0,0,0,0,,,,3,,9,20000,2,0,2000,1,1,,
33348,1,,,,,,1,100,0,0,0,0,2003,60,2003,,,14,120000,2,0,4800,6,1,,
33348,1,,,,,,1,100,0,0,0,0,2012,90,1965,,,14,140000,2,0,6000,1,1,,
33455,1,,,,,,6,100,0,0,0,0,2003,25,1900,,,3,30000,2,0,2400,1,1,,
33455,1,,,,,,2,100,0,0,0,0,1999,18,1930,,,5,60000,1,3600,,1,1,,
33455,1,,,,,,1,100,0,0,0,0,1996,50,1995,,,8,120000,2,0,4500,1,1,,
33751,1,2,,,,,1,100,0,0,0,0,2006,75,1960,,,3,180000,2,0,6000,1,2,1,
33761,2,,,,,,3,100,0,0,0,0,1970,80,1900,,,4,120000,1,9600,,3,1,,
33761,2,,,,,,3,100,0,0,0,0,1970,80,1965,,,4,150000,1,8400,,3,1,,
33761,2,,,,,,1,100,0,0,0,0,1965,100,1900,,,4,260000,1,7200,,3,1,,
33761,2,,,,,,1,100,0,0,0,0,1965,120,1900,,,4,270000,1,6000,,3,1,,
33761,2,,,,,,1,100,0,0,0,0,1965,180,1900,,,4,300000,1,10800,,3,1,,
33777,1,,,,,,7,100,0,0,0,0,,,,,3300,8,10000,1,150,,1,1,,
33777,1,2,,,,,1,100,0,0,0,0,2010,65,1980,,,14,65000,2,0,,1,1,,
33777,1,,,,,,1,100,0,0,0,0,2005,160,1900,,,5,200000,1,,,1,1,,
33778,1,,,,,,7,100,0,0,0,0,,,,,5000,9,20000,2,0,500,3,1,,
33778,1,2,,,,,1,100,0,0,0,0,1991,110,1990,,,4,100000,1,3300,,3,1,,
33778,1,2,,,,,4,100,0,0,0,0,2004,75,2002,,,5,100000,1,5400,,2,1,,
33882,2,,,,,,1,50,0,0,0,0,2011,100,1600,,,8,100000,2,0,6000,3,1,,
33937,3,,,,,,7,100,0,0,0,0,,,,1,,9,30000,2,0,5000,1,1,,
33937,3,,,,,,7,100,0,0,0,0,,,,,8000,11,50000,2,0,5000,1,1,,
33937,3,,,,,,4,100,0,0,0,0,1987,220,1987,,,5,100000,1,12000,,6,1,,
33941,1,,,,,,7,100,0,0,0,0,,,,3,,11,3000,2,0,100,3,2,14,
33941,1,,,,,,1,100,0,0,0,0,2007,110,1800,,,1,10000,2,0,100,3,2,14,
33983,2,,,,,,1,100,0,0,0,0,2001,40,1949,,,8,65000,2,0,3000,1,1,,
33994,2,,,,,,7,100,0,0,0,0,,,,,1500,9,1500,2,0,100,3,1,,
33994,1,,,,,,8,33,0,0,0,0,,,,,4000,11,3000,2,0,100,3,1,,
33994,1,,,,,,1,33,0,0,0,0,2009,30,1890,,,1,30000,2,0,1500,3,1,,
34732,1,,,,,,7,100,0,0,0,0,,,,,1200,9,2500,2,0,100,1,1,,
34732,1,,,,,,7,100,0,0,0,0,,,,,3200,9,5000,2,0,100,1,1,,
34732,1,,,,,,7,100,0,0,0,0,,,,,3000,9,5000,2,0,100,1,1,,
34738,1,,,,,,7,100,0,0,0,0,,,,,1000,9,5000,2,0,500,5,1,,
34738,1,,,,,,7,100,0,0,0,0,,,,,1600,9,8000,2,0,600,1,1,,
34825,2,,,,,,1,50,0,0,0,0,2008,50,1500,,,1,30000,2,0,1000,3,2,11,
35032,1,2,,,,,6,100,0,0,0,0,1998,15,1998,,,3,5000,2,0,500,6,1,,
35032,1,,,,,,1,15,0,0,0,0,1975,70,1950,,,1,20000,2,0,500,3,2,18,
35322,1,,,,,,7,100,0,0,0,0,,,,,5000,9,10000,2,0,500,3,1,,
35322,1,,,,,,1,100,0,0,0,0,2005,90,1800,,,8,30000,2,0,1000,3,1,,
35500,1,2,,,,,6,100,0,0,0,0,1984,20,1952,,,3,15000,2,0,1200,4,1,,
35502,2,,,,,,7,100,0,0,0,0,,,,,6000,9,100000,2,0,4000,3,1,,
35507,1,,,,,,1,100,0,0,0,0,2003,100,1993,,,8,180000,2,0,450,6,1,,
35508,1,2,,,,,7,100,0,0,0,0,,,,35,,10,300000,2,0,4000,1,1,,
35520,1,2,,,,,6,100,0,0,0,0,1994,30,1994,,,3,20000,2,0,600,6,1,,
35968,1,,,,,,3,50,0,0,0,0,1994,80,1910,,,4,80000,1,3000,,3,1,,
36010,2,,,,,,7,100,0,0,0,0,,,,,1000,3,60000,2,0,100,3,1,,
36106,1,,,,,,7,100,0,0,0,0,,,,,2500,9,25000,2,0,4000,1,1,,
36106,1,,,,,,1,100,0,0,0,0,1995,60,1995,,,1,45000,2,0,3500,6,1,,
36131,1,,,,,,1,33,0,0,0,0,2011,170,1965,,,8,250000,2,0,6000,3,1,,
36131,1,,,,,,1,33,0,0,0,0,2011,170,1965,,,8,250000,2,0,6000,3,1,,
36146,1,2,,,,,8,100,0,0,0,0,,,,,1000,3,2000,2,0,300,1,1,,
36146,1,2,,,,,7,100,0,0,0,0,,,,,6000,9,10000,2,0,500,1,1,,
36311,1,,,,,,6,100,0,0,0,0,1991,18,1986,,,3,20000,2,0,1800,1,1,,
36321,1,2,,,,,1,100,0,0,0,0,2001,80,1960,,,1,90000,2,0,3600,1,1,,
36333,2,,,,,,7,100,0,0,0,0,,,,5,,9,20000,2,0,3000,3,1,,
36333,2,,,,,,1,100,0,0,0,0,2011,80,1950,,,2,150000,2,0,1000,3,1,,
36409,1,2,,,,,1,100,0,0,0,0,2007,50,1800,,,1,70000,2,0,5000,1,1,,
36450,1,,,,,,7,100,0,0,0,0,,,,2,,9,15000,2,0,500,2,1,,
36522,1,,,,,,2,100,0,0,0,0,1990,120,1950,,,3,400000,2,0,5000,3,1,,
36891,2,,,,,,3,100,0,0,0,0,2003,50,1982,,,14,40000,2,0,2500,3,1,,
36891,2,,,,,,1,100,0,0,0,0,2008,80,1967,,,1,60000,2,0,2400,5,1,,
36891,2,,,,,,1,50,0,0,0,0,2008,80,2008,,,8,60000,2,0,2400,3,1,,
36891,1,,,,,,8,100,0,0,0,0,,,,,550,11,65000,2,0,1200,1,1,,
36893,2,,,,,,1,100,0,0,0,0,2010,70,1968,,,8,60000,2,0,2400,3,1,,
36893,2,,,,,,1,100,0,0,0,0,2010,70,1968,,,4,60000,1,2300,,3,1,,
36893,1,,,,,,7,100,0,0,0,0,,,,5,,10,100000,2,0,500,3,1,,
36893,1,,,,,,1,100,0,0,0,0,1980,300,1955,,,2,150000,2,0,6000,3,1,,
37011,3,,,,,,1,100,0,0,0,0,1978,110,1978,,,4,120000,1,5500,,2,1,,
37459,2,,,,,,1,100,0,0,0,0,1990,65,1973,,,1,220000,2,0,3600,3,2,20,
37504,1,2,,,,,1,100,0,0,0,0,1975,100,1970,,,1,200000,2,0,6000,2,1,,
37504,2,,,,,,6,100,0,0,0,0,1985,80,1980,,,3,200000,2,0,2400,2,1,,
37808,2,,,,,,6,100,0,0,0,0,1990,30,1970,,,3,10000,2,0,5000,3,1,,
38112,2,,,,,,1,100,0,0,0,0,2008,90,1955,,,13,120000,2,0,6000,3,1,,
38135,1,,,,,,1,100,0,0,0,0,1988,80,1945,,,4,95000,1,6000,,3,1,,
38255,1,,,,,,1,100,0,0,0,0,1982,63,1982,,,14,200000,2,0,600,5,1,,
38272,1,,,,,,7,33,0,0,0,0,,,,,1600,11,40000,2,0,500,1,1,,
38272,1,,,,,,1,100,0,0,0,0,1998,70,1960,,,1,700000,2,0,6000,1,1,,
38316,1,,,,,,6,100,0,0,0,0,2010,50,1970,,,4,100000,1,3000,,3,1,,
38316,1,,,,,,1,100,0,0,0,0,2010,1000,1970,,,4,150000,1,6000,,3,1,,
38349,1,2,,,,,1,100,0,0,0,0,2000,100,1686,,,1,200000,2,0,10000,1,1,,
38800,1,,,,,,1,100,0,0,0,0,1982,40,1980,,,4,200000,1,3600,,1,1,,
38885,1,,,,,,1,100,0,0,0,0,2002,40,1900,,,3,40000,2,0,1200,1,1,,
38909,1,,,,,,7,100,0,0,0,0,,,,1,,11,2000,2,0,100,3,1,,
38909,1,,,,,,7,100,0,0,0,0,,,,1,,11,3000,2,0,100,3,1,,
38909,1,,,,,,1,100,0,0,0,0,1991,50,1960,,,4,50000,1,300,,3,1,,
38939,1,2,3,,,,8,100,0,0,0,0,,,,,700,3,30000,2,0,1000,1,1,,
38967,1,,,,,,7,100,0,0,0,0,,,,9,,9,200000,2,0,2000,3,1,,
38967,2,,,,,,1,100,0,0,0,0,1972,100,1900,,,3,400000,2,0,8000,1,1,,
38977,1,,,,,,7,100,0,0,0,0,,,,2,,10,100000,2,0,2000,1,1,,
38977,1,,,,,,7,50,0,0,0,0,,,,3,,10,200000,2,0,3000,3,1,,
38977,1,,,,,,3,100,0,0,0,0,1980,1000,1980,,,2,1000000,2,0,12000,6,1,,
38992,1,,,,,,1,100,0,0,0,0,1982,35,1930,,,1,70000,2,0,3600,2,1,,
38992,2,,,,,,1,100,0,0,0,0,1982,45,1930,,,1,90000,2,0,3600,2,1,,
38992,1,,,,,,1,100,0,0,0,0,1971,112,1971,,,4,180000,1,6600,,2,1,,
38995,1,,,,,,7,25,0,0,0,0,,,,,7000,11,30000,2,0,,3,2,19,
38995,1,,,,,,1,50,0,0,0,0,1975,120,1970,,,14,130000,2,0,6000,1,1,,
38995,1,,,,,,1,100,0,0,0,0,1985,100,1985,,,1,150000,2,0,4800,6,2,19,
39056,1,,,,,,1,50,0,0,0,0,1990,90,1959,,,15,80000,2,0,3600,3,1,,
39061,2,,,,,,1,100,0,0,0,0,2008,40,1800,,,14,80000,2,0,3600,1,1,,
39086,2,,,,,,5,100,0,0,0,0,2003,70,1920,,,2,150000,2,0,400,3,1,,
39086,1,,,,,,1,33,0,0,0,0,1990,400,1920,,,1,350000,1,12000,,3,1,,
39095,1,,,,,,1,100,0,0,0,0,2004,90,1994,,,4,140000,1,5000,,1,1,,
39284,1,,,,,,1,100,0,0,0,0,1975,75,1820,,,3,120000,2,0,7200,3,1,,
39356,1,2,,,,,1,100,0,0,0,0,1973,100,1973,,,4,200000,1,6000,,6,1,,
39433,1,,,,,,1,100,0,0,0,0,2008,100,1930,,,8,130000,2,0,400,3,1,,
39542,1,,,,,,7,100,0,0,0,0,,,,3,,3,15000,2,0,1000,3,1,,
