nquest,nord,DEBM41I,TDEBITA41I,MUTUODU41I,MUTUOIN41I,ANMUTUO41I,TMUTUOAB41I,DEBGAR41I_1,DEBGAR41I_2,DEBGAR41I_3,DEBGAR41I_4,DEBRF41I,DEBM42I,TDEBITA42I,MUTUODU42I,MUTUOIN42I,ANMUTUO42I,TMUTUOAB42I,DEBGAR42I_1,DEBGAR42I_2,DEBGAR42I_3,DEBGAR42I_4,DEBRF42I,DEBM43I,TDEBITA43I,MUTUODU43I,MUTUOIN43I,ANMUTUO43I,TMUTUOAB43I,DEBGAR43I_1,DEBGAR43I_2,DEBGAR43I_3,DEBGAR43I_4,DEBRF43I,DEBM44I,TDEBITA44I,MUTUODU44I,MUTUOIN44I,ANMUTUO44I,TMUTUOAB44I,DEBGAR44I_1,DEBGAR44I_2,DEBGAR44I_3,DEBGAR44I_4,DEBRF44I,DEBM45I,TDEBITA45I,MUTUODU45I,MUTUOIN45I,ANMUTUO45I,TMUTUOAB45I,DEBGAR45I_1,DEBGAR45I_2,DEBGAR45I_3,DEBGAR45I_4,DEBRF45I,TAXDEB11I,TAXDEB12I,TAXDEB13I,TAXDEB14I,TAXDEB15I
878768,3,1,13000,7,13000,2011,330,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,
879703,1,1,5000,3,20000,2010,7200,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,,,,
879875,1,1,200000,13,1250000,2010,15000,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,
879925,2,1,7200,5,15000,2008,3600,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.05,,,,
879959,1,2,3000,,12000,2011,7000,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.05,,,,
880072,2,1,10000,4,40000,2008,10000,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,
880264,1,1,102000,6,122400,2011,20400,0,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,
880707,1,1,15000,5,60000,2008,18000,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.06,,,,
881055,2,2,500000,,500000,2011,36000,0,0,0,1,1,2,100000,,100000,2011,10000,0,0,0,1,1,2,100000,,100000,2011,10000,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,10,8.5,8.5,,
881089,1,1,2400,5,26000,2008,4800,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,
881114,1,1,14800,4,18000,2011,3200,0,0,0,1,2,1,5000,4,24000,2010,200,0,0,0,1,2,1,900,1,3200,2011,200,0,0,0,1,2,1,5000,3,5000,2011,50,0,0,0,1,2,,,,,,,,,,,,8.75,0,0,0,
881445,1,1,8000,5,13000,2011,3000,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,,,,
881473,1,1,15000,4,18000,2009,0,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,
881525,1,1,8500,4,27000,2010,6800,0,0,0,1,2,1,2800,4,27000,2009,6900,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,12,,,
882832,1,1,60000,8,80000,2011,13000,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,
883188,1,1,50000,4,50000,2012,40000,1,1,0,0,2,1,90000,4,100000,2011,20000,1,1,0,0,2,1,50000,4,60000,2011,15000,1,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,10,10,10,,
883246,1,1,50000,10,60000,2009,4800,0,0,0,1,1,1,80000,25,120000,2008,7000,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,,,
883748,1,1,30000,10,50000,2010,6000,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,
883752,2,1,4500,7,16000,2008,250,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,
884087,1,1,1050000,15,2000000,2009,150000,1,0,0,0,2,2,6000,,10000,2012,1000,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,
884517,1,1,20000,2,20000,2012,10000,0,0,0,1,2,1,10000,2,10000,2012,5000,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,
885543,2,1,55000,9,70000,2005,12000,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.08,,,,
885868,1,1,8000,4,10000,2012,50,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,
885931,1,1,160000,15,300000,2005,30000,1,0,0,0,2,2,20000,,45000,2011,12000,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,,,
886000,1,1,3500,5,3500,2012,85,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,
886884,2,1,10500,6,50000,2008,8400,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.08,,,,
887722,1,1,20000,5,25000,2012,3900,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
887768,2,1,20000,5,30000,2012,6000,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
887770,1,1,50000,5,50000,2012,2000,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,
