nquest,debm31,tdebita31,mutuodu31,mutuoin31,tmutuoab31,debgar31_1,debgar31_2,debgar31_3,debgar31_4,debgar31_5,DEBPERS31,debrf31,debm32,tdebita32,mutuodu32,mutuoin32,tmutuoab32,debgar32_1,debgar32_2,debgar32_3,debgar32_4,debgar32_5,DEBPERS32,debrf32,debm33,tdebita33,mutuodu33,mutuoin33,tmutuoab33,debgar33_1,debgar33_2,debgar33_3,debgar33_4,debgar33_5,DEBPERS33,debrf33,taeg11,taeg12,taeg13
681822,2,600,2,3000,1440,0,0,0,1,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,6,,
681932,5,2500,4,5500,2800,0,0,0,1,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,4.05,,
682259,1,7000,10,9000,1500,1,0,0,0,0,,1,1,2000,3,5000,2400,1,0,0,0,0,,2,,,,,,,,,,,,,9,9,
682359,2,500,12,800,300,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,7,,
682363,2,600,1,600,600,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,6.2,,
682491,1,1500,3,8000,280,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,
682532,5,6000,10,14200,2400,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,3,,
682737,1,1250,4,12000,3000,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,
682982,1,9000,5,10000,2000,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,6,,
683171,4,12000,5,15000,3600,0,0,0,1,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,
683201,2,1500,1,1500,500,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,5,,
683349,1,13000,10,19000,3000,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,
683358,2,842,1,1100,258,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,
683472,1,6000,6,8000,1650,0,0,0,1,0,1,2,2,200,1,800,500,0,0,0,1,0,1,2,,,,,,,,,,,,,4.05,4,
683544,1,5100,3,7000,2270,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,6.85,,
683569,1,14000,5,15000,1500,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,6,,
683645,4,30000,5,30000,6000,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,7,,
683653,1,9000,5,9000,1200,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,5,,
683664,1,1500,5,8000,1680,0,0,0,1,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,7,,
684000,2,600,2,1000,400,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,
684063,4,13000,10,23000,3140,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,4,,
684130,1,7000,5,8000,2500,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,8,,
684328,1,5000,10,10000,2500,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,6.9,,
684564,2,22000,10,28000,4320,0,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,11,,
684727,4,6000,3,10000,4000,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,5.25,,
684973,1,8000,5,8000,800,0,0,0,0,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,6,,
684992,2,700,2,1500,850,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,3,,
685149,1,4000,2,4500,1800,0,0,0,0,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,5,,
