nquest,nord,intper,entepen,tipopen,decor,tpens,mesipen,arret,tarret,quotape,npens
33336,2,1,1,1,1998,450,13,2,0,50,1
33336,2,1,1,5,1995,450,13,2,0,,2
33348,1,1,1,1,1994,1480,13,2,0,88,1
33348,2,1,1,4,2007,800,13,2,0,,1
33455,1,1,2,1,2003,1500,13,2,0,90,1
33479,1,1,1,1,1995,1700,13,2,0,80,1
33479,2,1,1,1,2001,1000,13,2,0,80,1
33644,1,1,1,1,1999,900,12,2,0,70,1
33644,2,1,1,1,1998,1200,13,2,0,80,1
33751,1,1,2,1,2006,2130,13,2,0,75,1
33751,2,1,1,1,1997,1750,13,2,0,70,1
33761,1,1,1,1,1999,3600,13,2,0,70,1
33773,1,1,1,5,2007,500,13,2,0,,1
33778,2,2,4,3,2002,700,12,2,0,,1
33823,1,1,1,1,1984,1930,13,2,0,80,1
33839,1,1,1,5,2007,540,13,2,0,,1
33882,1,1,1,1,2010,1200,13,1,400,100,1
33888,1,1,1,1,1990,700,13,2,0,80,1
33888,1,1,1,5,1995,600,13,2,0,,2
33889,1,1,1,1,1998,1400,13,2,0,73,1
33889,2,2,1,1,2009,1200,13,2,0,70,1
33937,1,1,6,1,2000,,12,2,0,10,1
33941,1,1,1,1,2009,1500,13,2,0,50,1
33994,1,1,1,1,2003,1460,13,2,0,78,1
34059,1,1,1,1,2011,2900,13,2,0,80,1
34230,1,1,1,5,1980,460,13,2,0,,1
34252,1,1,1,1,2006,1200,13,2,0,78,1
34377,1,1,1,1,1995,1230,13,2,0,50,1
34396,1,1,1,5,1980,780,13,2,0,,1
34513,1,1,1,1,2007,1200,13,2,0,80,1
34732,1,1,1,1,1998,1100,13,2,0,80,1
34732,2,2,1,4,1982,480,12,2,0,,1
34738,1,1,1,1,2009,2000,13,2,0,80,1
34738,2,2,1,1,2012,600,13,2,0,50,1
34778,1,1,1,5,2007,500,13,2,0,,1
34793,2,1,3,5,2012,500,13,2,0,,1
34800,1,1,1,1,2008,450,13,2,0,50,1
34800,2,1,1,2,2010,250,13,2,0,,1
35005,1,1,1,1,2006,1000,13,2,0,30,1
35005,1,1,1,5,1993,500,13,2,0,,2
35005,2,2,1,4,2000,275,13,2,0,,1
35234,1,1,1,1,1997,1400,13,2,0,80,1
35234,2,1,6,1,2001,250,13,2,0,70,1
35319,1,1,1,1,1992,450,12,2,0,100,1
35319,1,1,1,5,2008,370,12,2,0,,2
35322,1,1,1,1,1989,800,13,2,0,60,1
