nquest,nord,nesplav,dislav,disann,exlav,etalav,contrib,acontrib,mcontrib,etalav2,etapen,coppu,prevcom,anprevcom,mprevcom1,mprevcom,coppip,docsezb
31309,3,0,,,,,,,,,,,,,,,,2
31309,4,1,2,,,20,1,2,,,62,40,3,,,,,2
31309,5,1,2,,,18,1,5,,,,,3,,,,,2
31309,6,,,,,,,,,,,,,,,,,2
31387,1,3,2,,1,14,1,17,,,,,,,,,,2
31387,2,3,2,,1,17,1,34,,,,,,,,,,2
31387,3,1,2,,,26,1,2,,,,,2,,,,,2
31403,1,0,,,,,,,,,,,,,,,,2
31403,2,2,1,2,1,19,1,24,,44,65,50,2,,,,,2
31441,1,1,2,,,24,1,38,,,,,,,,,,2
31441,2,5,2,,1,16,1,36,,,,,,,,,,2
31448,1,2,2,,1,22,1,34,,,,,,,,,,2
31561,1,2,1,1,1,20,1,37,,,,,,,,,,2
31625,1,0,,,,,,,,,,,,,,,,1
31625,2,4,1,1,3,22,1,20,,44,85,55,2,,,,,1
31652,1,1,2,,,18,1,44,,,,,,,,,,2
31652,2,1,2,,,24,1,34,,,,,,,,,,2
31665,1,1,2,,,14,1,35,,,,,,,,,,1
31665,2,0,,,,,,,,,,,,,,,,1
31671,1,0,,,,,,,,,,,,,,,,2
31695,1,0,,,,,,,,,,,,,,,,1
31695,2,2,2,,1,15,1,33,,17,,,1,,,,,1
31695,3,2,2,,1,24,1,2,,24,65,50,1,,,,80,1
31695,4,2,1,1,1,16,1,3,,19,,,3,,,,,1
31724,1,0,,,,,,,,,,,,,,,,2
31724,2,1,2,,,19,1,35,,,,,3,,,,,2
31724,3,1,2,,,26,1,25,,,,,3,,,,,2
31724,4,0,,,,,,,,,,,,,,,,2
31724,5,,,,,,,,,,,,,,,,,2
31735,1,2,2,,1,15,1,35,,,,,,,,,,2
31735,2,3,2,,1,25,1,16,,,,,,,,,,2
31757,1,0,,,,,,,,,,,,,,,,2
31785,1,1,2,,,22,1,37,,,,,,,,,,2
31785,2,1,2,,,22,1,40,,,,,,,,,,2
31798,1,4,2,,1,10,1,37,,,,,,,,,,2
31799,1,5,2,,1,14,1,31,,,,,,,,,,2
31799,2,5,2,,1,15,1,37,,,,,,,,,,2
31860,1,4,2,,1,20,1,32,,23,67,70,,,,,,2
31860,2,1,2,,,29,1,21,,,,,2,,,,,2
31860,3,0,,,,,,,,,,,,,,,,2
31868,1,3,2,,1,16,1,31,,48,60,100,2,,,,,1
31868,2,3,1,10,1,16,1,7,,,,,,,,,,1
31868,3,0,,,,,,,,,,,,,,,,1
31868,4,,,,,,,,,,,,,,,,,1
31869,1,1,2,,,10,1,30,,,68,80,,,,,,2
31869,2,0,,,,,,,,,,,,,,,,2
31869,3,0,,,,,,,,,,,,,,,,2
31869,4,0,,,,,,,,,,,,,,,,2
31912,1,5,2,,1,14,1,25,,,,,,,,,,2
31912,2,1,2,,,20,1,32,,,,,,,,,,2
32001,1,1,2,,,21,1,28,,,,,,,,,,2
32001,2,0,,,,,,,,,,,,,,,,2
32028,1,1,2,,,24,1,40,,,,,,,,,,2
32028,2,1,2,,,24,1,37,,,,,,,,,,2
32028,3,1,2,,,24,1,4,,,,,2,,,,,2
32034,1,1,2,,,14,1,35,,,,,,,,,,2
32034,2,0,,,,,,,,,,,,,,,,2
32041,1,2,2,,1,15,1,36,,,,,,,,,,2
32041,2,1,2,,,15,1,20,,,,,,,,,,2
32044,1,0,,,,,,,,,,,,,,,,2
32052,1,1,2,,,14,1,37,,,,,,,,,,2
32052,2,1,2,,,13,1,26,,,,,,,,,,2
32057,1,1,2,,,25,1,20,,,70,70,,,,,,2
32057,2,1,2,,,18,1,50,,,,,,,,,,2
32057,3,1,2,,,18,1,45,,,,,,,,,,2
32067,1,1,2,,,16,1,35,,,,,,,,,,2
32144,1,1,2,,,18,1,36,,,,,,,,,,2
32144,2,1,2,,,18,1,25,,,,,,,,,,2
