nquest,nord,intper,attivp,partime,contratt,tuttanno,mesilav,pubblico,dimaz,oretot,pstra,orestra,ylm,integ,ylnm
38112,2,1,1,2,1,1,12,2,1,30,2,,14000,2,0
38135,1,1,1,2,1,1,12,2,2,55,2,,9600,2,0
38183,1,1,1,1,1,1,12,2,7,38,2,,23500,1,1500
38183,2,2,1,1,1,1,12,1,,36,2,,27500,1,150
38255,2,1,1,1,1,1,12,2,2,40,2,,15000,2,0
38316,3,1,2,1,2,1,12,2,2,50,2,,8000,2,0
38319,1,1,1,1,1,1,12,1,,36,2,,19000,2,0
38349,3,3,1,1,1,1,12,2,4,38,2,,20000,2,0
38554,1,1,1,1,1,1,12,2,4,40,2,,18300,2,0
38554,2,2,1,2,1,2,1,2,1,21,2,,500,2,0
38909,1,1,1,1,1,1,12,1,,25,2,,15000,2,0
38913,2,1,1,1,1,1,12,2,2,40,2,,15000,2,0
38967,2,2,1,2,1,1,12,1,,10,2,,25000,2,0
38977,2,1,1,1,1,1,12,2,1,40,2,,16000,2,0
39056,1,1,1,1,1,1,12,1,,36,1,1,26000,1,1300
39056,2,1,1,1,1,1,12,1,,36,1,2,14000,2,0
39095,1,1,1,1,1,1,12,2,7,32,1,4,22000,2,0
39095,2,1,1,1,1,1,12,2,7,40,2,,20000,2,0
39284,3,3,1,1,1,1,12,1,,30,2,,17000,2,0
39317,2,1,1,1,1,1,12,2,2,40,2,,16000,2,0
39317,3,1,1,1,1,1,12,1,,40,2,,16000,2,0
39436,3,1,1,1,1,1,12,2,2,40,2,,16000,2,0
39485,1,1,1,1,2,1,12,1,,18,2,,24000,2,0
39485,2,1,1,1,2,1,12,1,,18,2,,20000,2,0
39697,2,1,1,1,1,1,12,1,,40,2,,20800,2,0
50060,1,1,1,1,1,1,12,1,,36,1,10,26000,2,0
50060,3,3,1,2,1,1,12,2,1,24,2,,6000,2,0
50085,2,1,1,1,1,1,12,2,2,36,2,,15000,2,0
50150,2,2,1,1,2,1,12,2,6,40,2,,13470,2,0
50231,2,1,1,1,1,1,12,2,2,40,2,,11000,2,0
50281,4,4,1,1,1,1,12,2,2,25,2,,8400,2,0
50618,4,4,1,1,1,1,12,1,,36,2,,18000,2,0
50674,3,1,1,1,1,1,12,2,2,50,2,,17000,2,0
51013,1,1,1,2,2,2,8,2,2,25,2,,10000,2,0
51013,4,1,1,2,2,2,8,2,2,25,2,,12000,2,0
51351,1,1,1,1,1,1,12,2,2,40,2,,20680,2,0
52478,2,1,1,1,1,1,12,1,,40,2,,20000,1,840
52505,2,1,1,1,1,1,12,1,,48,2,,20000,2,0
52718,2,2,1,1,1,1,12,2,1,30,2,,7000,2,0
