nquest,Y,YL,YL1,YL2,YT,YTP,YTP1,YTP2,YTA,YTA1,YTA2,YTA3,YTA31,YTA32,YM,YMA1,YMA2,YC,YCA,YCA1,YCA2,YCF,YCF1,YCF2,YCF3,YCF4
687112,35836.171377,35400,35400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436.17137723,6000,0,6000,-5563.828623,0,0,0,5563.8286228
687132,24533.448844,0,0,0,20280,20280,20280,0,0,0,0,0,0,0,0,0,0,4253.448844,3600,0,3600,653.44884403,147.36219284,0,506.08665119,0
687134,48795.599595,43000,43000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5795.5995952,5400,0,5400,395.59959522,35.604199609,0,359.99539562,0
687135,20886.275301,16800,16000,800,0,0,0,0,0,0,0,0,0,0,0,0,0,4086.2753007,7200,0,7200,-3113.724699,60.527139335,0,0,3174.2518386
687147,25030.69596,0,0,0,18850,18850,18850,0,0,0,0,0,0,0,0,0,0,6180.6959598,6000,0,6000,180.69595975,20.816521883,0,159.87943787,0
687148,45270.022837,39000,39000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6270.0228366,6000,0,6000,270.02283662,61.701772577,0,208.32106404,0
687157,8909.6339578,0,0,0,6478,6478,6478,0,0,0,0,0,0,0,0,0,0,2431.6339578,2400,0,2400,31.633957788,31.633957788,0,0,0
687164,34778.494414,0,0,0,21385,21385,21385,0,0,0,0,0,0,0,0,0,0,13393.494414,13500,0,13500,-106.505586,83.949524275,0,0,190.45511032
687165,32268.390907,0,0,0,0,0,0,0,0,0,0,0,0,0,24000,24000,0,8268.3909075,8120,0,8120,148.39090749,148.39090749,0,0,0
687168,29433.964276,24550,24050,500,0,0,0,0,0,0,0,0,0,0,0,0,0,4883.9642762,4800,0,4800,83.964276222,83.964276222,0,0,0
687174,59942.416798,55000,53000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,4942.4167984,4800,0,4800,142.41679844,142.41679844,0,0,0
687188,32605.763215,10000,10000,0,0,0,0,0,0,0,0,0,0,0,19000,19000,0,3605.7632145,3600,0,3600,5.7632145017,5.7632145017,0,0,0
687213,28384.566943,0,0,0,24700,24700,24700,0,0,0,0,0,0,0,0,0,0,3684.5669429,3600,0,3600,84.566942877,84.566942877,0,0,0
687218,20832.760869,0,0,0,20800,20800,20800,0,0,0,0,0,0,0,0,0,0,32.760869429,0,0,0,32.760869429,32.760869429,0,0,0
687248,30200.21873,22200,22200,0,7305,7305,6825,480,0,0,0,0,0,0,0,0,0,695.21873008,0,0,0,695.21873008,130.5487319,0,564.66999818,0
687250,68041.187518,0,0,0,33300,40300,40300,0,-7000,0,0,-7000,0,7000,0,0,0,34741.187518,30000,0,30000,4741.1875178,35.604199609,0,4705.5833182,0
687281,32311.210833,20500,20500,0,0,0,0,0,0,0,0,0,0,0,5756.9918195,5756.9918195,0,6054.2190137,6000,0,6000,54.219013656,54.219013656,0,0,0
687287,29170,15000,15000,0,7670,7670,7670,0,0,0,0,0,0,0,0,0,0,6500,6500,0,6500,0,0,0,0,0
687291,21306.183471,0,0,0,16500,16900,16900,0,-400,0,0,-400,0,400,0,0,0,4806.1834708,4800,0,4800,6.1834707644,6.1834707644,0,0,0
687303,18556.409711,7000,7000,0,5540,6240,6240,0,-700,0,0,-700,0,700,0,0,0,6016.409711,6000,2400,3600,16.409711042,16.409711042,0,0,0
687304,35034.737432,28000,28000,0,3120,3120,3120,0,0,0,0,0,0,0,0,0,0,3914.7374316,3900,0,3900,14.73743157,14.73743157,0,0,0
687305,32475.065224,18000,18000,0,10290,3290,3290,0,7000,7000,0,0,0,0,0,0,0,4185.0652243,3800,0,3800,385.06522433,71.35966979,313.70555454,0,0
687321,33434.775365,26600,26600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6834.7753654,7200,0,7200,-365.2246346,82.116605827,0,483.77263225,931.11387267
687322,23067.696561,0,0,0,20564,17904,17904,0,2660,0,160,2500,2500,0,0,0,0,2503.6965612,2400,0,2400,103.69656122,103.69656122,0,0,0
687324,17733.927528,0,0,0,14638,14638,14638,0,0,0,0,0,0,0,0,0,0,3095.9275279,3000,0,3000,95.927527893,95.927527893,0,0,0
687327,53114.15143,41420,41340,80,0,0,0,0,0,0,0,0,0,0,0,0,0,11694.15143,12600,0,12600,-905.8485704,448.49888079,0,0,1354.3474512
687328,33602.435278,0,0,0,27358,21658,21658,0,5700,5700,0,0,0,0,0,0,0,6244.435278,6000,0,6000,244.43527795,244.43527795,0,0,0
