NQUEST,anabit,godabit,unipro,anposs,pro1,pro2,pro3,pro4,pro5,pro6,pro7,pro8,pro9,poss,impacq,fittonop,tfittonop,tfitto,tipoaff,dfittom,tfittom,propriet,tfitimp,UBIC1N,supab,ancostr,bagni,boiler,valabit,altrab,naltrab,altrfab,naltrfab,teragr,nteragr,ternagr,nternagr,antic,anticipi,manstra,tmanstra,manstr2,tmanstr2,ristrut,tristrutn,tristrut,energia,tenergian,tenergia,imupricas,timupricas,imualtab,timualtab,imurip1,imurip2,imuasp,debita1,ndebita1,debita2,ndebita2,DEBITC,NDEBITC,DEBITD,NDEBITD,DEBITE,NDEBITE,DEBITF,NDEBITF,DEBITG,NDEBITG,chifinmut,chifincons,ritardo,credit,tcredit,debit,tdebit,mutuor,fmutrif,mutuoe,mutuorif,reapmut,mutuor3,mutuoe3,mutuoric,mutuoric3,intpersezd,docsezd,ritaff,QUOPRO
22624,2005,1,1,2000,0,1,0,0,0,0,0,0,0,4,,,,,,,,,350,4,85,2000,1,1,160000,2,,2,,2,,2,,2,,2,,,,,,,,,,1,1000,2,,,,60,2,,2,,0,,0,,0,,0,,0,,,,,2,,1,1000,2,,,,,2,,2,2,2,1,,100
22657,2001,1,1,2001,1,1,0,0,0,0,0,0,0,1,375000,,,,,,,,1500,2,250,1994,2,1,700000,2,,2,,2,,2,,2,,2,,,,,,,,,,1,792,1,247,80,20,0,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,1,,100
22850,1964,1,1,2010,1,0,0,0,0,0,0,0,0,4,,,,,,,,,400,3,80,1958,2,1,90000,2,,2,,2,,2,,2,,1,1500,,,2,,,2,,,1,100,2,,,,5,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
22995,1970,1,1,1970,0,1,0,0,0,0,0,0,0,4,,,,,,,,,350,4,400,1894,2,1,250000,2,,2,,2,,2,,2,,1,4500,,,2,,,2,,,1,800,2,,,,10,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
22996,1982,1,1,1982,1,0,0,0,0,0,0,0,0,4,,,,,,,,,400,4,150,1850,1,1,150000,2,,2,,1,1,2,,2,,2,,2,,,,,,,,1,300,2,,,,5,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
23370,1979,2,,,,,,,,,,,,,,,,172,5,1,300,7,,3,88,1975,1,1,95000,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,,,90,,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,2,
23384,1939,1,1,1964,1,0,0,0,0,0,0,0,0,6,,,,,,,,,500,1,130,1933,1,1,200000,2,,2,,2,,2,,2,,2,,,,,,,,,,1,400,2,,,,0,2,,2,,0,,0,,0,,0,,0,,,,,2,,1,2500,2,,,,,2,,2,2,1,1,,100
23490,1958,4,,,,,,,,,,,,,,,,,,,,3,800,1,80,1958,1,1,150000,1,1,2,,2,,2,,2,,2,,2,,,,,,,,2,,1,130,100,0,50,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,1,,
23797,1987,5,,,,,,,,,,,,,,,,,,,,5,950,2,60,1938,1,2,300000,2,,2,,2,,2,,2,,1,1000,,,2,,,2,,,2,,2,,,,100,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,
23821,1959,1,1,1959,1,0,0,0,0,0,0,0,0,2,20000,,,,,,,,400,2,70,1950,1,1,160000,2,,2,,2,,2,,2,,2,,,,,,,,,,1,450,2,,,,70,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
23823,2010,1,1,2010,0,1,0,0,0,0,0,0,0,2,200000,,,,,,,,500,2,100,2010,2,1,250000,2,,2,,2,,2,,2,,2,,,,,,,,,,1,500,2,,,,50,1,1,2,,0,,0,,0,,0,,0,,1,,2,2,,2,,2,,,,,2,,2,1,1,2,,100
23865,1986,1,1,1985,1,1,0,0,0,0,0,0,0,7,40000,,,,,,,,400,2,104,1985,2,1,170000,2,,2,,2,,2,,2,,2,,,,,,,,,,1,296,2,,,,100,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
23986,1967,1,1,1965,0,1,0,0,0,0,0,0,0,2,4500,,,,,,,,500,3,95,1965,1,2,250000,2,,1,2,2,,2,,2,,2,,2,,,,,,,,1,130,1,450,20,80,0,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
