NQUEST,ctit,NCTIT,ictit,unaban,banche,anniban,servb1,servb2,servb3,servb4,servb5,servb6,privateb,scoper,utscoper,mesiscoper,vmscoper,fscoper1,fscoper,carta,carte,usocart,cartdeb1,cartdeb,bancomat,nbancoma,cartapre,ncartapre,spesecon,coldis,DEPOSIT,NDEPOSIT
32729,1,1,1,1,1,4,1,1,1,1,1,0,2,1,1,9,5000,1,6000,1,1,2,,,1,1,2,,400,2,1,2
32733,2,,,1,1,4,1,0,0,0,0,1,2,2,,,,,,2,,,,,2,,2,,800,2,1,2
32734,2,,,2,2,3,1,0,0,0,0,0,2,1,1,10,2000,1,2000,1,2,2,,,1,2,2,,800,1,1,2
32742,1,1,2,1,1,4,1,0,0,1,0,0,2,1,2,,,,,1,1,2,,,1,2,2,,2000,2,1,1
32751,2,,,2,2,4,1,0,0,0,0,0,2,2,,,,,,2,,,,,2,,2,,600,2,1,2
32764,2,,,1,1,4,1,0,0,0,0,0,2,1,1,12,500,1,500,2,,,,,2,,2,,1200,2,1,1
32765,2,,,2,2,4,1,0,0,0,0,0,2,1,2,,,,,1,2,2,,,1,2,1,1,800,1,1,2
32772,1,1,2,2,2,2,1,0,0,1,0,0,2,1,2,,,,,2,,,,,1,1,2,,300,2,1,2
32810,,,,1,1,4,1,0,0,0,0,0,2,,,,,,,2,,,,,2,,2,,450,2,1,1
32822,2,,,1,1,4,0,0,0,0,0,0,2,2,,,,,,2,,,,,2,,2,,1200,2,1,1
32839,2,,,2,2,3,0,0,0,0,0,0,2,3,,,,,,2,,,,,1,1,2,,1000,2,1,2
32861,2,,,2,2,4,1,0,0,1,0,0,2,1,2,,,,,2,,,,,1,2,2,,2000,2,1,3
32887,2,,,2,2,4,1,0,0,0,0,0,2,1,2,,,,,1,2,1,,,1,1,2,,1200,2,1,2
32962,2,,,2,2,4,0,1,0,0,0,0,2,1,2,,,,,2,,,,,1,1,2,,1000,2,1,3
32982,2,,,1,1,4,0,0,0,0,0,0,2,2,,,,,,2,,,,,2,,2,,800,2,1,1
