NQUEST,comprens,ita,veroaf,veroab,verored,klima,facil,durata
504453,9,10,8,8,8,9,8,60
504483,9,10,8,8,7,7,8,60
504490,9,10,7,8,6,8,8,65
504551,8,10,8,8,8,9,8,58
504584,10,9,9,9,10,10,10,39
504730,10,10,8,10,7,10,10,58
504792,10,10,10,10,10,10,10,82
504821,10,10,10,10,9,10,9,95
504872,8,8,7,7,8,9,9,39
504885,9,9,8,8,7,9,9,60
504886,9,9,7,6,6,9,9,53
504889,10,9,9,8,8,9,9,53
504921,9,8,6,8,8,9,9,39
504937,9,8,7,8,8,9,9,43
504956,9,9,8,8,8,9,9,41
504965,7,8,8,9,9,9,9,22
504988,9,9,8,8,8,9,9,91
505022,8,8,7,7,7,9,9,27
505167,7,7,8,8,8,8,7,58
505228,8,10,7,8,7,9,8,65
505238,8,10,8,9,8,9,7,43
505243,9,10,8,8,8,8,9,82
505285,10,10,10,10,10,10,10,31
505322,8,10,6,7,6,8,7,50
505334,7,9,7,8,7,8,7,34
505390,10,10,10,10,9,10,10,57
505407,10,10,10,10,10,10,10,42
505421,10,10,10,10,10,10,6,22
505424,10,10,9,10,9,10,10,41
505425,9,9,8,9,9,9,9,38
505433,10,10,10,10,8,10,10,70
505436,10,10,10,10,10,10,10,81
505454,6,7,10,10,10,10,7,22
505469,10,10,10,10,9,10,10,39
505517,8,9,9,9,9,9,9,40
505523,6,8,9,9,9,9,8,35
505525,6,8,6,7,8,9,7,55
505534,9,9,9,9,9,9,9,46
505540,8,9,9,9,8,8,6,28
505548,9,9,9,9,9,9,9,49
505566,8,9,9,9,9,9,9,31
505576,8,8,9,9,9,9,9,40
505594,10,10,9,10,9,10,10,90
505606,10,10,7,9,9,10,10,90
505655,9,9,8,9,8,9,9,80
505672,8,8,8,8,8,8,6,46
505681,8,8,7,9,8,9,8,22
505768,10,10,10,10,10,10,10,74
505771,10,10,10,10,10,10,10,71
505806,4,5,5,8,5,10,5,63
505810,8,8,6,9,6,9,8,94
505818,7,7,6,8,7,10,7,88
505820,5,6,7,10,6,9,6,63
505839,10,9,9,10,9,10,10,82
505850,9,8,7,9,7,9,8,23
505881,10,10,10,10,10,10,10,44
505979,10,10,7,10,10,10,8,46
506007,10,10,6,10,6,10,7,41
506025,10,10,9,10,10,10,8,53
506100,7,6,7,8,8,5,5,31
506107,8,8,7,8,6,7,6,56
506112,7,7,7,7,7,7,7,44
506126,7,6,6,8,8,6,6,65
506152,7,8,7,8,8,7,6,57
506153,7,7,8,9,9,8,7,57
506184,8,8,6,10,10,8,7,52
506195,8,7,7,8,8,7,7,33
506374,8,9,8,8,8,9,9,30
506385,8,8,5,7,7,8,9,40
506389,9,9,6,8,6,9,9,21
506396,8,8,6,8,5,8,8,37
506402,8,8,7,8,9,9,9,37
506410,9,9,8,8,8,9,9,33
506411,8,8,7,8,8,9,8,62
506413,8,9,5,8,6,9,9,26
506418,8,9,5,7,9,8,7,31
506446,9,9,6,8,6,10,10,60
506458,10,10,10,10,10,10,10,77
506492,10,10,8,10,10,10,9,44
506520,9,9,4,8,8,10,8,77
506565,10,10,10,10,10,10,10,85
506591,8,8,9,9,8,8,8,44
506601,6,7,5,9,7,8,6,29
506608,8,8,5,8,8,8,8,28
506613,8,8,6,8,8,8,8,26
506619,9,9,7,9,10,9,9,45
506628,10,10,10,10,10,10,10,60
506657,10,10,10,10,10,10,10,45
506666,10,10,5,10,5,10,10,41
506680,8,8,9,10,10,10,8,24
506729,10,10,10,10,10,10,10,55
506736,10,10,10,10,10,10,10,90
506738,10,10,10,10,10,10,10,60
506753,8,9,8,8,8,9,9,40
506758,9,9,6,8,8,8,8,65
506767,9,9,9,9,9,9,9,56
506772,9,9,9,9,9,9,9,78
506798,10,10,10,10,10,10,10,45
506799,10,10,10,10,10,10,10,66
506979,10,10,10,10,6,10,10,46
506997,8,8,5,7,6,8,8,65
507037,9,9,9,9,9,8,8,59
507078,8,8,8,8,8,8,8,29
507081,8,8,8,8,8,8,8,38
507111,8,10,9,10,9,10,8,33
507147,8,7,8,9,8,8,8,38
507151,10,10,10,10,10,10,10,91
507157,7,8,5,7,8,7,8,70
507168,8,8,9,9,10,10,9,78
507172,10,10,10,10,10,10,10,20
507182,10,10,9,10,10,10,10,60
507185,10,10,7,10,10,10,10,68
507190,10,9,8,10,9,8,8,65
507260,8,8,8,8,2,8,8,32
507282,8,8,7,8,8,8,8,67
507287,8,8,8,8,8,8,8,53
507303,9,10,9,9,10,10,10,85
507304,10,10,8,7,8,8,10,95
507316,10,10,7,8,9,10,1,70
507319,8,10,8,9,8,9,7,65
507322,10,10,10,10,10,10,10,70
507329,10,10,10,10,10,10,10,70
507336,10,10,10,10,8,10,10,72
507359,10,10,10,10,10,10,10,105
507360,10,10,6,10,6,8,10,140
