nquest,nord,SEX,PARENT,ANASC,CIT,ANINGR,STACIV,STUDIO,VOTOEDU,SUEDU,SELODE,ANNOEDU,UNIVER,NORDP,MOTENT,APQUAL,ASNONOC,NACE,motiv,annoenus,tipolau,tipodip,NASCREG,NASCAREA,ireg,NCOMP,ETA,CLETA5,QUAL,Q,APSETT,SETT,CFRED,PERC,NPERC,AREA3,AREA5,ACOM4C,pesofit
23370,1,1,1,1942,1,,1,3,,,,,,1,,15,1,15,,,,,6,1,6,2,70,5,6,3,15,5,1,1,1,1,2,2,0.1726325196
23370,2,2,2,1942,1,,1,3,,,,,,2,,13,,,,,,,6,1,6,2,70,5,7,3,,5,0,0,1,1,2,2,0.1726325196
23384,1,1,1,1931,1,,4,4,,,,,,1,,15,8,7,,,,,5,1,5,1,81,5,6,3,7,5,1,1,1,1,2,0,0.9291701824
23490,1,2,1,1937,1,,2,5,48,60,2,1980,2,1,,15,2,17,,,,5,5,1,5,1,75,5,6,3,17,5,1,1,1,1,2,1,0.2175240667
23797,1,1,1,1955,1,,1,3,,,,,,1,,2,,19,,,,,15,3,15,2,57,4,2,1,19,4,1,1,1,3,4,3,0.5205777065
23797,2,2,2,1958,1,,1,2,,,,,,2,,13,,,,,,,15,3,15,2,54,3,7,3,,5,0,0,1,3,4,3,0.5205777065
23821,1,2,1,1936,1,,4,2,,,,,,1,,16,,,,,,,16,3,16,2,76,5,6,3,,5,1,1,1,3,4,2,0.2230488535
23821,2,2,7,1968,1,,2,4,,,,,,2,,11,,,,,,,16,3,16,2,44,2,7,3,,5,0,0,1,3,4,2,0.2230488535
23823,1,2,1,1937,1,,4,2,,,,,,1,,16,,,,,,,16,3,16,2,75,5,6,3,,5,0,1,2,3,4,2,0.2251161579
23823,2,2,7,1972,1,,2,5,36,60,2,1991,2,2,,2,,11,,,,3,16,3,16,2,40,2,2,1,11,4,1,1,2,3,4,2,0.2251161579
23865,1,1,1,1944,1,,1,5,38,60,2,1964,2,1,,15,2,19,,,,2,16,3,16,2,68,5,6,3,19,5,1,1,1,3,4,2,0.8092034132
23865,2,2,2,1950,1,,1,3,,,,,,2,,13,,,,,,,16,3,16,2,62,4,7,3,,5,0,0,1,3,4,2,0.8092034132
23986,1,2,1,1935,1,,1,2,,,,,,1,,13,,,,,,,17,3,17,2,77,5,7,3,,5,0,0,1,3,4,2,0.2830630072
23986,2,1,2,1929,1,,1,2,,,,,,2,,15,8,19,,,,,17,3,17,2,83,5,6,3,19,5,1,1,1,3,4,2,0.2830630072
24147,1,1,1,1948,1,,1,7,100,110,2,1976,,1,,15,2,13,,,4,3,4,1,4,2,64,4,6,3,13,5,0,1,2,1,2,0,1.2988342211
24147,2,2,2,1958,1,,1,5,50,60,2,1976,2,2,,3,,16,,,,5,4,1,4,2,54,3,2,1,16,3,1,1,2,1,2,0,1.2988342211
24149,1,1,1,1923,1,,4,2,,,,,,1,,15,8,19,,,,,3,1,4,1,89,5,6,3,19,5,1,1,1,1,2,0,1.6700518403
24194,1,1,1,1952,1,,1,2,,,,,,1,,15,1,3,,,,,8,1,8,4,60,4,6,3,3,5,0,1,4,1,2,1,0.5248602865
24194,2,2,2,1960,1,,1,3,,,,,,2,,2,,7,,,,,8,1,8,4,52,3,2,1,7,4,0,1,4,1,2,1,0.5248602865
24194,3,1,6,1984,1,,2,5,72,100,2,2005,2,3,,2,,2,,,,1,8,1,8,4,28,1,2,1,2,2,1,1,4,1,2,1,0.5248602865
24194,4,2,6,1990,1,,2,5,72,100,2,2009,2,4,,2,,11,,,,2,8,1,8,4,22,1,2,1,11,4,0,1,4,1,2,1,0.5248602865
24195,1,2,1,1952,1,,1,3,,,,,,1,,13,,,,,,,13,3,8,2,60,4,7,3,,5,0,0,1,1,2,1,0.34605766
24195,2,1,2,1936,1,,1,3,,,,,,2,,15,1,6,,,,,8,1,8,2,76,5,6,3,6,5,1,1,1,1,2,1,0.34605766
24326,1,2,1,1924,1,,4,3,,,,,,1,,15,1,3,,,,,4,1,4,1,88,5,6,3,3,5,1,1,1,1,2,0,1.2089983056
24374,1,2,1,1957,1,,4,3,,,,,,1,,12,8,19,,,,,13,3,13,4,55,4,7,3,19,5,0,0,2,3,4,0,1.8526432706
24374,2,1,3,1946,1,,3,2,,,,,,2,,15,1,8,,,,,13,3,13,4,66,5,6,3,8,5,0,1,2,3,4,0,1.8526432706
24374,3,1,7,1978,1,,2,4,,,,,,3,,1,,3,,,,,13,3,13,4,34,1,1,1,3,2,1,1,2,3,4,0,1.8526432706
24374,4,2,7,1981,1,,2,4,,,,,,4,,12,1,7,,,,,13,3,13,4,31,1,7,3,7,5,0,0,2,3,4,0,1.8526432706
24379,1,2,1,1939,1,,4,2,,,,,,1,,16,,,,,,,13,3,13,1,73,5,6,3,,5,1,1,1,3,4,2,0.1197347784
24382,1,1,1,1940,1,,1,2,,,,,,1,,16,,,,,,,13,3,13,2,72,5,6,3,,5,1,1,2,3,4,0,1.4979489876
24382,2,2,2,1949,1,,1,2,,,,,,2,,1,,20,,,,,13,3,13,2,63,4,1,1,20,4,0,1,2,3,4,0,1.4979489876
24393,1,2,1,1931,1,,4,2,,,,,,1,,16,,,,,,,13,3,13,1,81,5,6,3,,5,1,1,1,3,4,2,0.1197347784
24616,1,1,1,1939,1,,1,2,,,,,,1,,15,1,3,,,,,8,1,8,2,73,5,6,3,3,5,1,1,2,1,2,2,0.4647137601
24616,2,2,2,1944,1,,1,2,,,,,,2,,15,1,1,,,,,8,1,8,2,68,5,6,3,1,5,0,1,2,1,2,2,0.4647137601
24760,1,2,1,1920,1,,4,2,,,,,,1,,16,,,,,,,17,3,17,1,92,5,6,3,,5,1,1,1,3,4,2,0.1827175688
24764,1,2,1,1966,1,,1,3,,,,,,1,,13,,,,,,,15,3,17,5,46,3,7,3,,5,0,0,1,3,4,2,0.2191325699
24764,2,1,2,1963,1,,1,3,,,,,,2,,1,,3,,,,,17,3,17,5,49,3,1,1,3,2,1,1,1,3,4,2,0.2191325699
24764,3,2,6,1996,1,,2,3,,,,,,3,,17,,,,,,,16,3,17,5,16,1,7,3,,5,0,0,1,3,4,2,0.2191325699
24764,4,2,6,1998,1,,2,3,,,,,,4,,17,,,,,,,16,3,17,5,14,1,7,3,,5,0,0,1,3,4,2,0.2191325699
24764,5,1,6,2007,1,,2,1,,,,,,5,,18,,,,,,,17,3,17,5,5,1,7,3,,5,0,0,1,3,4,2,0.2191325699
24809,1,2,1,1939,1,,1,2,,,,,,1,,13,,,,,,,16,3,16,2,73,5,7,3,,5,0,0,1,3,4,2,0.8174786021
24809,2,1,2,1930,1,,1,2,,,,,,2,,15,2,15,,,,,16,3,16,2,82,5,6,3,15,5,1,1,1,3,4,2,0.8174786021
24853,1,1,1,1957,1,,1,3,,,,,,1,,15,2,15,,,,,16,3,11,3,55,4,6,3,15,5,1,1,2,2,3,2,0.2492800707
24853,2,2,2,1962,1,,1,5,36,60,2,1981,1,2,,3,,16,,,,5,16,3,11,3,50,3,2,1,16,3,0,1,2,2,3,2,0.2492800707
24853,3,2,6,1991,1,,2,5,84,100,2,2010,1,3,,17,,,,,,5,11,2,11,3,21,1,7,3,,5,0,0,2,2,3,2,0.2492800707
24924,1,2,1,1964,1,,1,5,40,60,2,1982,2,1,,9,,3,,,,1,6,1,6,4,48,3,5,2,3,2,0,1,3,1,2,2,0.4941442829
24924,2,1,2,1960,1,,1,5,40,60,2,1978,2,2,,9,,3,,,,1,6,1,6,4,52,3,5,2,3,2,1,1,3,1,2,2,0.4941442829
24924,3,2,6,1989,1,,2,6,97,110,2,2012,,3,,3,,16,,,9,5,6,1,6,4,23,1,2,1,16,3,0,1,3,1,2,2,0.4941442829
24924,4,1,6,1991,1,,2,5,83,100,2,2010,1,4,,17,,,,,,4,6,1,6,4,21,1,7,3,,5,0,0,3,1,2,2,0.4941442829
24984,1,2,1,1956,1,,1,3,,,,,,1,,13,,,,,,,9,2,9,3,56,4,7,3,,5,0,0,2,2,3,0,0.6916636865
24984,2,1,2,1954,1,,1,3,,,,,,2,,15,1,19,,,,,9,2,9,3,58,4,6,3,19,5,1,1,2,2,3,0,0.6916636865
24984,3,1,14,1924,1,,4,2,,,,,,3,,15,1,3,,,,,9,2,9,3,88,5,6,3,3,5,0,1,2,2,3,0,0.6916636865
25007,1,2,1,1934,1,,4,5,36,60,2,1955,2,1,,16,,,,,,2,19,3,19,1,78,5,6,3,,5,1,1,1,3,5,2,0.1834144915
