nquest,debm21,debrf21,tdebita21,mutuodu21,mutuoin21,anmutuo21,tmutuoab21,tipotax21,debgar21_1,debgar21_2,debgar21_3,debpers21,debm22,debrf22,tdebita22,mutuodu22,mutuoin22,anmutuo22,tmutuoab22,tipotax22,debgar22_1,debgar22_2,debgar22_3,debpers22,debm23,debrf23,tdebita23,mutuodu23,mutuoin23,anmutuo23,tmutuoab23,tipotax23,debgar23_1,debgar23_2,debgar23_3,debpers23,taxfis21,taxvar21,taxfis22,taxvar22,taxfis23,taxvar23
884042,2,2,1800,15,35000,2001,500,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07,,,,
884340,1,2,11500,20,60000,1997,3600,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
884643,1,2,40000,15,50000,2010,3840,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2.11,,,,,
885623,1,2,20000,15,80000,2001,5000,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,,
885626,1,2,42000,30,46000,2002,3000,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,
885672,1,2,45000,5,70000,2011,15000,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
886172,1,2,30000,30,98000,2000,1200,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,
886186,2,2,20000,7,25000,2010,5636,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
886190,1,2,5000,15,25000,2001,1950,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,
886809,2,2,10000,25,100000,1990,6000,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05,,,,
887090,2,2,30000,10,33000,2012,3000,1,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,
887457,1,2,140000,30,150000,2010,6000,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
887498,1,2,35000,10,90000,2005,15000,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05,,,,
887503,1,2,33000,18,85000,2005,5000,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,,,,,
887722,1,2,18000,15,50000,2000,6000,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,
888517,1,2,85000,30,120000,2004,6000,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,,,,
889701,1,2,20000,10,70000,2005,8000,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,
