nquest,anabit,godabit,unipro,quopro,anposs,pro1,pro2,pro3,pro4,pro5,pro6,poss,impacq,tfitto,tipoaff,propriet,tfitimp,supab,ancostr,bagni,riscald,valabit,vac,vacdov1,vacdov2,vacdov3,altrab,naltrab,altrfab,naltrfab,teragr,nteragr,ternagr,nternagr,antic,anticipi,manstra,tmanstra,manstr2,tmanstr2,ristr,tristr,debita1,ndebita1,debita2,ndebita2,debitb,tdebitb,debitc,tdebitc,debitd,tdebitd,debite,tdebite,ratab,ratac,taxc,ratad,taxd,ratae,taxe,chifinmut,chifincons,ritardo,credit,tcredit,debit,tdebit,mutuor,mutuoe,mutuorif,mutuoric,pro7,pro8,pro9,TDEBITA
21461,1973,4,,,,,,,,,,,,,,2,400,75,1962,1,1,200000,2,,,,2,,2,,2,,2,,2,,,,,,,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,,,
22074,1994,1,1,100,1994,1,2,,,,,1,75000,,,,800,65,1974,1,1,200000,1,0,0,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
22099,1982,1,1,100,1982,1,2,,,,,4,,,,,250,80,1963,2,1,20000,2,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,3500,2,,2,,,3500,8.1,,,,,,1,2,2,,2,,2,,,2,,0,0,
22168,1970,2,,,,,,,,,,,,290,1,4,,50,1940,1,2,100000,2,,,,2,,2,,2,,2,,2,,,,,,,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,,,
22169,1980,1,1,100,1980,1,,,,,,1,25000,,,,300,50,1940,1,2,100000,2,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
22173,1971,2,,,,,,,,,,,,430,1,4,,70,1940,1,2,350000,2,,,,2,,2,,2,,2,,2,,,,,,,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,,,
22208,1978,1,1,100,1978,1,,,,,,1,23000,,,,500,107,1975,2,1,150000,2,,,,2,,2,,2,,2,,2,,1,300,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
22222,1960,1,1,100,1960,1,,,,,,7,2000,,,,600,130,1960,2,1,300000,2,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
22251,1949,1,1,100,1979,1,2,,,,,5,6000,,,,500,120,1930,2,1,250000,1,1,0,0,2,,2,,2,,2,,2,,1,8000,2,,3,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
22262,2000,1,1,100,1999,1,,,,,,5,30000,,,,700,180,1963,2,1,500000,1,1,0,0,2,,2,,2,,2,,2,,2,,1,4000,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
22263,1967,2,,,,,,,,,,,,300,6,7,,90,1965,1,1,80000,2,,,,2,,2,,2,,2,,2,,,,,,,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,,,
22266,1936,1,1,100,1984,1,,,,,,4,,,,,1000,120,1936,1,2,300000,2,,,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
22272,1983,1,1,100,1983,1,2,,,,,1,22000,,,,600,64,1977,1,1,100000,2,,,,2,,2,,2,,2,,2,,1,500,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
22273,1961,1,1,100,1960,1,2,,,,,7,1500,,,,400,97,1960,2,1,250000,2,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
22274,1976,2,,,,,,,,,,,,164,6,7,,92,1976,2,1,120000,1,0,0,1,2,,2,,2,,2,,2,,,,,,,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,,,
22276,1949,1,1,100,1949,1,2,,,,,1,5000,,,,100,70,1500,1,2,60000,2,,,,2,,2,,2,,2,,2,,1,10000,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
22277,1986,5,,,,,,,,,,,,,,1,500,110,1980,2,1,130000,2,,,,2,,2,,2,,2,,2,,,,,,,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,,,
22279,1954,1,1,100,1998,1,,,,,,4,,,,,300,100,1800,2,1,100000,2,,,,2,,2,,2,,2,,2,,1,20000,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
22286,1975,1,1,100,1975,1,2,,,,,4,,,,,600,180,1975,2,1,300000,1,1,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
22292,1968,5,,,,,,,,,,,,,,2,400,100,1900,2,2,150000,2,,,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,,,
22353,1981,1,1,100,1996,1,2,,,,,3,50000,,,,800,100,1981,2,1,200000,2,,,,2,,1,1,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,2,,,,,,,,,1,,2,2,,2,,2,,,2,,0,0,5000
22516,1995,1,1,100,1995,1,2,,,,,7,40000,,,,400,80,1970,1,1,70000,1,1,0,0,2,,2,,2,,2,,2,,1,3500,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,1,10000,2,,2,,,2,,0,0,
22624,1978,1,1,100,2002,2,,,,,,4,,,,,150,48,1900,1,2,50000,2,,,,2,,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,2,,2,,,,,,,,,4,,2,2,,2,,2,,,2,,0,0,660
22657,2001,1,1,100,2000,1,2,,,,,1,335000,,,,2500,300,1955,2,1,900000,1,1,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
22850,1964,1,2,83,1963,1,2,,,,,5,2500,,,,850,400,1958,2,1,350000,2,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
22891,1930,1,1,100,1930,1,,,,,,4,,,,,100,75,1930,1,1,70000,2,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
22995,1970,1,1,100,1970,1,2,,,,,4,,,,,1800,250,1895,2,1,500000,1,1,0,0,2,,2,,1,1,2,,2,,1,2350,2,,2,,2,,2,,2,,2,,1,550,2,,,,,550,5.5,,,,1,2,2,,2,,2,,,2,,0,0,
22996,1934,1,1,100,1934,1,,,,,,4,,,,,500,100,1900,1,1,200000,2,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
23193,1995,2,,,,,,,,,,,,473,1,4,,110,1931,1,1,380000,2,,,,2,,2,,2,,2,,2,,,,,,,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,,,
23370,1994,2,,,,,,,,,,,,185,1,7,,84,1974,1,1,85000,1,1,0,0,2,,2,,2,,2,,2,,,,,,,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,,,
23384,1939,1,1,100,1939,1,,,,,,1,100,,,,400,120,1930,1,1,150000,2,,,,2,,2,,2,,2,,2,,1,600,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
23386,1981,1,1,100,1981,1,2,,,,,6,,,,,780,150,1934,2,1,250000,2,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
23490,1958,1,1,100,1958,1,,,,,,2,10000,,,,600,70,1958,1,1,110000,1,1,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
23797,1987,4,,,,,,,,,,,,,,5,300,70,1940,1,2,200000,2,,,,2,,2,,2,,2,,2,,,,,,,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,,,
23798,1970,2,,,,,,,,,,,,380,1,4,,80,1900,1,1,240000,2,,,,2,,2,,2,,2,,2,,,,,,,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,,,
23821,1959,1,1,100,1959,1,,,,,,1,20000,,,,150,70,1958,1,1,150000,2,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,1,,0,0,
23823,1985,1,1,100,1983,1,,,,,,7,35000,,,,450,100,1983,1,1,250000,2,,,,2,,1,1,2,,2,,2,,1,1200,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,1,5000,2,,,1,,0,0,
23865,1985,1,1,100,1985,1,2,,,,,7,60000,,,,500,120,1985,2,1,220000,2,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
