nquest,numadd,numdip,quopro,forgiu,sedeit,fatlor,ym,debcr1,debcr2,debcr3,debcr4,debcr5,tfr,immob,valaz,ind1,ind2,ind3,ind4,attivp1,attivp2,attivp3,attivp4,mesilav1,mesilav2,mesilav3,mesilav4,oretot1,oretot2,oretot3,oretot4
710624,3,1,49,9,1,23000,15000,0,0,0,0,0,1600,2,15000,2,,,,1,,,,12,,,,50,,,
711153,1,1,100,8,1,4000,3500,0,0,0,0,0,,1,100000,2,,,,1,,,,12,,,,70,,,
712132,3,0,100,9,1,50000,20000,0,0,0,0,0,,2,100000,1,3,,,1,1,,,12,12,,,42,55,,
713319,2,0,10,9,1,18000,15000,0,0,0,0,0,,1,80000,1,,,,1,,,,12,,,,5,,,
713676,1,1,100,8,1,20000,16000,0,0,0,0,0,7000,1,30000,1,,,,1,,,,12,,,,50,,,
716500,4,3,100,8,1,25000,18000,0,0,0,0,0,999,2,500000,1,,,,1,,,,12,,,,60,,,
716908,2,2,100,8,1,7500,5000,0,0,0,0,0,,1,300000,1,2,,,1,1,,,12,12,,,40,23,,
719835,2,0,50,9,1,5000,3500,0,0,0,0,0,,2,1000,1,,,,1,,,,12,,,,48,,,
720116,1,0,100,8,1,15000,8000,0,0,0,0,0,,1,15000,1,,,,1,,,,12,,,,40,,,
722518,22,20,100,6,1,478000,25000,0,0,2800,107500,238500,200000,1,400000,1,,,,1,,,,12,,,,50,,,
722601,1,0,100,8,1,20000,15000,0,0,0,0,0,,1,150000,1,,,,2,,,,12,,,,48,,,
732360,4,2,100,8,1,,,0,0,0,0,0,20000,2,250000,3,,,,1,,,,12,,,,45,,,
732601,7,5,100,7,1,500000,60000,0,0,0,0,0,15000,1,15000,1,2,,,1,2,,,12,12,,,50,30,,
733072,1,0,100,8,1,40000,25000,0,0,0,5000,0,,2,50000,1,,,,1,,,,12,,,,48,,,
734728,2,0,90,8,1,10000,5000,0,0,0,0,0,,2,0,1,2,,,2,1,,,12,12,,,20,20,,
800008,4,2,50,8,1,35000,28000,0,0,0,0,0,,2,60000,1,,,,1,,,,12,,,,45,,,
800449,2,1,100,8,1,25000,,0,0,0,0,0,,1,10000,1,2,,,2,1,,,12,12,,,40,40,,
800552,2,0,100,6,1,13000,10000,0,0,0,0,0,,2,5000,1,2,,,1,1,,,12,12,,,28,40,,
800593,4,2,100,8,1,200000,60000,0,0,0,0,0,2000,1,4000000,1,2,,,1,1,,,12,12,,,40,30,,
800600,1,1,100,8,1,60000,10000,0,0,0,0,0,,1,500000,1,,,,1,,,,12,,,,50,,,
801263,1,0,100,8,1,35000,24000,0,0,0,0,0,,1,30000,2,,,,1,,,,12,,,,50,,,
801434,4,2,50,7,1,55000,32000,0,0,15000,15000,7000,15000,2,180000,1,,,,1,,,,11,,,,45,,,
802425,4,1,100,7,1,35000,25000,0,0,50000,0,0,40000,1,200000,2,,,,1,,,,5,,,,45,,,
802684,2,0,100,7,1,86000,46000,0,0,0,12000,3000,,1,120000,1,2,,,1,1,,,12,12,,,50,40,,
805476,1,1,100,8,1,30000,17000,0,0,0,0,0,,2,200,2,,,,1,,,,12,,,,60,,,
805932,2,0,100,8,1,15000,10000,0,0,0,0,0,,2,50000,1,2,,,1,1,,,12,12,,,55,55,,
806094,5,3,100,7,1,600000,30000,0,0,0,0,0,,2,100000,1,2,,,1,1,,,12,12,,,60,40,,
806191,3,1,100,7,1,45000,30000,90000,0,0,15000,0,,2,150000,3,,,,1,,,,12,,,,40,,,
