NQUEST,NORD,NCOMP,SEX,PARENT,ANASC,CIT,ANINGR,SALUT,STACIV,STUDIO,VOTOEDU,SUEDU,SELODE,ANNOEDU,UNIVER,UNIVER1,ANNIUNIVER,NORDP,MOTENT,APQUAL,ASNONOC,APSETT,MOTIV,ANNOENUS,TIPOLAU,NASCREG,NASCAREA,IREG,AREA3,AREA5,ACOM4C,ETA,CLETA,CLETA5,QUAL,Q,SETT,CFRED,PERC,NPERC,PESOFIT,SALUTC,TIPODIP
812851,2,2,2,2,1929,1,,4,1,2,,,,,,,,,,13,,,,,,17,3,17,3,4,2,79,5,5,7,3,5,0,0,1,0.3412892346,3,
812854,1,1,2,1,1935,1,,1,4,2,,,,,,,,,,15,8,4,,,,3,1,3,1,1,1,73,5,5,6,3,5,1,1,1,0.6776320246,,
812856,1,2,2,1,1939,1,,2,1,1,,,,,,,,,,13,,,,,,19,3,3,1,1,1,69,5,5,7,3,5,0,0,1,0.6776405589,,
812856,2,2,1,2,1937,1,,2,1,1,,,,,,,,,,15,1,3,,,,19,3,3,1,1,1,71,5,5,6,3,5,1,1,1,0.6776405589,,
812859,1,1,2,1,1928,1,,2,2,3,,,,,,,,,,15,2,2,,,,3,1,3,1,1,1,80,5,5,6,3,5,1,1,1,0.6776320246,,
812863,1,4,2,1,1967,1,,1,1,4,,,,,,,,,,2,,9,,,,3,1,3,1,1,1,41,3,2,2,1,3,1,1,2,0.7834474442,,
812863,2,4,1,2,1962,1,,1,1,3,,,,,,,,,,1,,2,,,,3,1,3,1,1,1,46,3,3,1,1,2,0,1,2,0.7834474442,,
812863,3,4,2,5,1992,1,,1,2,3,,,,,,,,,,17,,,,,,3,1,3,1,1,1,16,1,1,7,3,5,0,0,2,0.7834474442,,
812863,4,4,1,5,1997,1,,1,2,2,,,,,,,,,,17,,,,,,3,1,3,1,1,1,11,1,1,7,3,5,0,0,2,0.7834474442,,
812865,1,2,2,1,1983,1,,1,2,4,,,,,,,,,,1,,2,,,,3,1,3,1,1,1,25,1,1,1,1,2,0,1,2,1.1065111508,,
812865,2,2,1,2,1979,1,,1,2,4,,,,,,,,,,1,,2,,,,3,1,3,1,1,1,29,1,1,1,1,2,1,1,2,1.1065111508,,
812872,1,2,1,1,1926,1,,2,4,2,,,,,,,,,,15,1,3,,,,6,1,3,1,1,1,82,5,5,6,3,5,0,1,2,0.6533144778,,
