nquest,npagcart,npagcaan,nprel1,nprel1an,prelmed1,pagam4u,pagam4,pagam4an,nprel2,nprel2an,prelmed2,assban,nassban,nassban2,assdep,limass,ammass,checkcc,checktipo,scont1,scont2,scont3,scont4
35032,,3,1,,100,2,,,0,,,1,,3,1,3,,3,1,2,2,2,2
35106,,,2,,250,1,,10,2,,400,2,,,1,3,,4,2,2,1,,
35326,,,3,,400,1,3,,3,,300,2,,,2,,,4,3,1,,,
35346,,,,,,,,,1,,600,2,,,2,,,5,3,2,1,,
35349,,,,,,,,,,,,,,,,,,,,2,1,,
35366,4,,,,,,,,4,,300,1,2,,2,,,4,2,2,1,,
35370,,,,,,,,,,,,,,,,,,,,2,2,1,
35371,,,30,,100,2,,,,,,,,,,,,,,2,1,,
35381,,,8,,200,1,4,,0,,,2,,,2,,,2,1,2,2,1,
35399,6,,6,,300,2,,,3,,200,1,,8,3,,,1,2,2,2,1,
35458,,,2,,500,1,15,,,5,1000,2,,,2,,,4,1,2,2,2,2
35518,,,,,,,,,0,,,1,3,,3,,,5,2,2,1,,
35588,,,5,,250,2,,,0,,,1,,5,3,,,4,3,2,2,2,1
35600,,,,,,,,,1,,700,2,,,2,,,3,3,2,2,2,2
35640,30,,3,,250,1,3,,,3,500,1,,2,1,1,103000,1,2,2,2,1,
35643,1,,,,,,,,1,,500,1,1,,1,3,,3,1,1,,,
35647,,,0,,,1,6,,0,,,1,1,,3,,,2,1,1,,,
35718,,,3,,200,1,5,,,1,350,1,,3,3,,,2,2,2,2,2,2
36010,,,4,,200,2,,,0,,,2,,,2,,,1,1,1,,,
36067,2,,,2,500,2,,,,1,500,2,,,1,3,,1,2,2,2,2,2
36073,,,4,,200,2,,,,2,300,2,,,1,3,,4,3,2,2,2,2
36311,,,3,,400,1,2,,,3,350,2,,,2,,,1,1,2,2,1,
36321,,,5,,250,1,2,,,3,300,2,,,1,3,,2,1,2,2,1,
36333,,,,8,200,1,,4,,8,500,2,,,2,,,4,3,1,,,
36376,,,2,,200,1,,5,2,,600,2,,,2,,,3,1,2,2,1,
36378,,8,10,,200,2,,,0,,,1,,2,1,1,100000,4,2,2,2,1,
36403,,,,,,,,,1,,1000,2,,,3,,,3,3,1,,,
36409,,10,,10,400,1,5,,12,,500,1,10,,1,3,,3,2,2,2,1,
36415,,10,4,,250,1,2,,,10,500,1,,4,3,,,3,3,2,2,1,
36450,,,6,,500,1,,8,,2,700,1,,3,3,,,2,3,2,2,2,2
36596,,,,,,,,,,,,,,,,,,,,2,1,,
36849,,,,,,,,,1,,400,2,,,2,,,5,3,1,,,
36883,,,4,,250,2,,,0,,,2,,,2,,,4,3,2,2,2,1
