nquest,nord,figl,nfigl,altrf,desf1,desf2,motnf1,motnf2,motnf3,HAPPY
35498,2,,,,,,,,,
35498,3,,,,,,,,,
35500,1,,,,,,,,,9
35500,2,,,,,,,,,
35502,1,1,2,,2,,9,99,,8
35502,2,,,,,,,,,
35507,1,,,,,,,,,7
35507,2,,,,,,,,,
35507,3,,,,,,,,,
35507,4,,,,,,,,,
35508,1,1,5,3,,,,,,7
35508,2,,,,,,,,,
35508,3,,,,,,,,,
35508,4,,,,,,,,,
35508,5,,,,,,,,,
35508,6,,,,,,,,,
35512,1,,,,,,,,,6
35520,1,1,2,,1,,,,,7
35520,2,,,,,,,,,
35520,3,,,,,,,,,
35676,1,,,,,,,,,7
35676,2,1,1,,2,,9,99,,
35676,3,,,,,,,,,
35682,1,,,,,,,,,7
35682,2,,,,,,,,,
35682,3,,,,,,,,,
35735,1,,,,,,,,,7
35735,2,1,2,,1,,,,,
35735,3,,,,,,,,,
35735,4,,,,,,,,,
35788,1,,,,,,,,,8
35788,2,1,3,,1,,,,,
35788,3,,,,,,,,,
35788,4,,,,,,,,,
35812,1,,,,,,,,,8
35812,2,1,2,,2,,6,10,99,
35812,3,,,,,,,,,
35862,1,,,,,,,,,10
35862,2,1,3,,2,,10,9,99,
35862,3,,,,,,,,,
35862,4,,,,,,,,,
35968,1,,,,,,,,,8
36106,1,,,,,,,,,7
36120,1,1,3,,1,,,,,6
36120,2,,,,,,,,,
36120,3,,,,,,,,,
36130,1,,,,,,,,,7
36130,2,1,1,3,,,,,,
36130,3,,,,,,,,,
36131,1,,,,,,,,,8
36131,2,1,2,,1,,,,,
36131,3,,,,,,,,,
36131,4,,,,,,,,,
36146,1,1,2,,1,,,,,7
36146,2,,,,,,,,,
36146,3,,,,,,,,,
36146,4,,,,,,,,,
36146,5,,,,,,,,,
36148,1,,,,,,,,,9
36148,2,,,,,,,,,
36164,1,,,,,,,,,10
36164,2,1,2,1,,,,,,
36164,3,,,,,,,,,
36164,4,2,,1,,,,,,
36186,1,,,,,,,,,6
36249,1,,,,,,,,,5
36250,1,1,2,,1,,,,,5
36250,2,,,,,,,,,
36250,3,,,,,,,,,
36407,1,,,,,,,,,6
36427,1,,,,,,,,,10
36427,2,1,2,,2,,1,99,,
36427,3,,,,,,,,,
36443,1,,,,,,,,,7
36443,2,,,,,,,,,
36492,1,,,,,,,,,8
36492,2,,,,,,,,,
36494,1,,,,,,,,,7
36494,2,,,,,,,,,
36522,1,,,,,,,,,10
36522,2,1,2,,2,,10,99,,
36522,3,,,,,,,,,
36522,4,,,,,,,,,
36524,1,,,,,,,,,8
36524,2,,,,,,,,,
36524,3,,,,,,,,,
36524,4,,,,,,,,,
36524,5,,,,,,,,,
36697,1,1,1,,1,,,,,6
36697,2,,,,,,,,,
36774,1,1,3,,1,,,,,6
36774,2,,,,,,,,,
36774,3,,,,,,,,,
36774,4,,,,,,,,,
36822,1,1,2,,1,,,,,8
36822,2,,,,,,,,,
36893,1,,,,,,,,,7
36893,2,,,,,,,,,
36893,3,,,,,,,,,
36893,4,,,,,,,,,
37011,1,,,,,,,,,8
37011,2,1,2,,1,,,,,
37011,3,2,,2,,,,,,
37042,1,,,,,,,,,8
37042,2,1,1,,1,,,,,
37042,3,,,,,,,,,
37287,1,,,,,,,,,6
37294,1,,,,,,,,,10
37294,2,1,3,,1,,,,,
37294,3,,,,,,,,,
37299,1,,,,,,,,,8
37299,2,1,3,,1,,,,,
37299,3,,,,,,,,,
37299,4,,,,,,,,,
37504,1,,,,,,,,,7
37504,2,,,,,,,,,
37677,1,,,,,,,,,7
37677,2,,,,,,,,,
37808,1,,,,,,,,,10
37808,2,,,,,,,,,
37808,3,,,,,,,,,
37808,4,,,,,,,,,
38016,1,2,,,,1,7,99,,8
38018,1,,,,,,,,,9
38018,2,,,,,,,,,
38095,1,,,,,,,,,8
38095,2,1,2,,1,,,,,
38095,3,,,,,,,,,
38095,4,,,,,,,,,
38112,1,1,2,3,,,,,,9
38112,2,,,,,,,,,
38112,3,,,,,,,,,
38112,4,,,,,,,,,
38128,1,1,1,,1,,,,,5
38128,2,,,,,,,,,
38135,1,,,,,,,,,7
38230,1,,,,,,,,,4
38255,1,,,,,,,,,5
38255,2,1,1,3,,,,,,
38255,3,2,,1,,,,,,
38316,1,,,,,,,,,8
38316,2,,,,,,,,,
38316,3,,,,,,,,,
38316,4,,,,,,,,,
38316,5,,,,,,,,,
38316,6,,,,,,,,,
38349,1,,,,,,,,,7
38349,2,,,,,,,,,
38362,1,,,,,,,,,6
38362,2,,,,,,,,,
38409,1,,,,,,,,,10
38409,2,,,,,,,,,
38409,3,,,,,,,,,
38409,4,,,,,,,,,
38426,1,,,,,,,,,9
38426,2,1,1,,1,,,,,
38493,1,,,,,,,,,8
38493,2,,,,,,,,,
38499,1,,,,,,,,,9
38499,2,,,,,,,,,
38554,1,,,,,,,,,8
38554,2,1,2,3,,,,,,
38554,3,,,,,,,,,
38554,4,,,,,,,,,
38800,1,,,,,,,,,7
38877,1,,,,,,,,,8
38877,2,,,,,,,,,
38909,1,,,,,,,,,7
38909,2,2,,,,1,7,99,,
38913,1,1,1,3,,,,,,8
38913,2,,,,,,,,,
38913,3,,,,,,,,,
38957,1,,,,,,,,,9
38957,2,,,,,,,,,
38964,1,,,,,,,,,8
38979,1,1,1,,2,,9,99,,4
39058,1,,,,,,,,,5
39058,2,1,2,,1,,,,,
39058,3,,,,,,,,,
39061,1,,,,,,,,,8
39061,2,,,,,,,,,
39083,1,,,,,,,,,8
39083,2,,,,,,,,,
39083,3,2,,,,2,,,,
39086,1,,,,,,,,,10
39086,2,,,,,,,,,
39111,1,,,,,,,,,7
39278,1,,,,,,,,,8
39284,1,,,,,,,,,8
39284,2,,,,,,,,,
39284,3,,,,,,,,,
39356,1,,,,,,,,,9
39356,2,,,,,,,,,
39433,1,,,,,,,,,5
39433,2,,,,,,,,,
39436,1,,,,,,,,,7
39436,2,1,2,,1,,,,,
39436,3,,,,,,,,,
39485,1,,,,,,,,,4
39485,2,,,,,,,,,
39485,3,,,,,,,,,
39485,4,,,,,,,,,
39488,1,1,2,,1,,,,,4
39488,2,,,,,,,,,
39488,3,,,,,,,,,
39907,1,,,,,,,,,7
39907,2,,,,,,,,,
50052,1,,,,,,,,,5
50060,1,,,,,,,,,10
50060,2,1,2,,1,,,,,
50060,3,,,,,,,,,
50060,4,,,,,,,,,
50085,1,,,,,,,,,7
50085,2,,,,,,,,,
50150,1,1,4,,1,,,,,6
50150,2,,,,,,,,,
50150,3,,,,,,,,,
50178,1,,,,,,,,,7
50178,2,1,2,,1,,,,,
50178,3,,,,,,,,,
50178,4,,,,,,,,,
50231,1,,,,,,,,,7
50231,2,,,,,,,,,
50618,1,,,,,,,,,7
50618,2,,,,,,,,,
50618,3,,,,,,,,,
50618,4,,,,,,,,,
50618,5,,,,,,,,,
50674,1,,,,,,,,,8
50674,2,,,,,,,,,
50740,1,,,,,,,,,7
50740,2,,,,,,,,,
51013,1,,,,,,,,,7
51013,2,1,2,,1,,,,,
51013,3,,,,,,,,,
51013,4,,,,,,,,,
51185,1,,,,,,,,,6
51185,2,1,2,,2,,2,4,99,
51185,3,,,,,,,,,
51185,4,,,,,,,,,
51297,1,,,,,,,,,8
51352,1,,,,,,,,,8
51352,2,1,2,,1,,,,,
51363,1,,,,,,,,,8
51363,2,,,,,,,,,
51619,1,,,,,,,,,8
51619,2,1,2,3,,,,,,
51619,3,,,,,,,,,
51619,4,,,,,,,,,
