nquest,nord,intper,attivp,partime,contratt,tuttanno,mesilav,pubblico,dimaz,oretot,pstra,orestra,ylm,integ,ylnm,nattivita
36427,2,2,1,1,1,1,12,2,2,40,2,,21000,2,0,1
36427,3,1,1,1,1,1,12,2,2,40,2,,15000,2,0,1
36443,1,1,1,1,1,1,12,2,7,38,2,,14200,1,500,1
36443,2,1,1,2,1,1,12,1,,30,2,,14350,2,0,1
36450,1,1,1,1,1,1,12,2,2,40,1,4,23400,2,0,1
36450,2,1,1,1,1,1,12,1,,37,2,,16900,2,0,1
36450,3,1,1,1,1,2,8,2,2,38,2,,8800,2,0,1
36522,1,1,1,1,1,1,12,1,,30,2,,25000,2,0,1
36522,2,2,1,1,1,1,12,1,,40,2,,20000,2,0,1
36524,4,3,1,1,1,1,12,2,7,35,2,,12000,2,0,1
36524,5,5,1,1,1,1,12,2,4,40,2,,14000,2,0,1
36697,1,1,1,1,1,1,12,2,7,36,2,,17000,2,0,1
36697,2,1,1,2,1,1,12,2,3,20,2,,10500,1,200,1
36774,1,1,1,1,1,1,12,2,1,10,2,,2652,2,0,1
36822,2,1,1,1,1,2,6,2,1,60,2,,5000,2,0,1
36883,1,1,1,1,1,1,12,1,,36,2,,19000,2,0,1
36891,1,1,1,1,1,1,12,2,2,40,2,,19000,2,0,1
36893,1,1,1,1,1,1,12,2,7,36,2,,24000,2,0,1
37011,2,2,1,1,1,1,12,1,,24,2,,20150,2,0,1
37011,3,3,1,1,2,2,8,1,,18,2,,10400,2,0,1
37042,1,1,1,1,1,1,12,2,5,42,1,3,23000,2,0,1
37042,3,3,1,1,2,1,12,2,7,42,1,2,15000,2,0,1
37286,1,1,1,1,1,1,12,1,,40,2,,16200,2,0,1
37286,2,3,1,1,1,1,12,1,,40,2,,16480,2,0,1
37294,1,1,1,1,1,1,12,2,4,40,2,,18000,2,0,1
37299,1,1,1,1,1,1,12,2,1,40,2,,16000,2,0,1
37459,1,1,1,1,1,1,12,1,,40,1,8,18000,1,1200,1
37665,1,1,1,1,1,1,12,1,,36,2,,14000,2,0,1
37665,2,1,1,1,1,1,12,2,5,40,1,5,14000,1,500,1
38014,2,2,1,1,1,1,12,2,7,40,1,5,26000,2,0,1
38014,3,1,1,1,1,1,12,2,7,40,2,,13000,2,0,1
38014,4,1,1,1,1,2,6,1,,18,2,,7500,2,0,1
38016,1,1,1,1,1,1,12,2,7,36,1,2,15000,2,0,1
38095,1,1,1,1,1,1,12,2,5,40,1,3,16912,2,0,1
38095,3,1,1,1,2,1,12,2,1,40,2,,12857,2,0,1
38112,1,1,1,1,1,1,12,2,6,36,2,,19500,2,0,1
38112,2,2,1,1,1,1,12,2,1,30,2,,16800,2,0,1
38153,3,1,1,2,1,1,12,2,6,30,2,,14000,2,0,1
38153,4,1,1,1,1,1,12,2,4,40,2,,18000,2,0,1
38153,5,1,1,1,1,1,12,2,1,40,2,,14000,2,0,1
38183,1,1,1,1,1,1,12,2,7,36,2,,21000,2,0,1
38183,2,1,1,1,1,1,12,1,,36,2,,22000,2,0,1
38183,3,1,1,1,1,1,12,2,1,40,2,,11000,2,0,1
38255,1,1,1,1,1,1,12,2,4,48,2,,15000,2,0,1
38319,1,1,1,1,1,1,12,1,,36,1,2,18000,2,0,1
38319,2,1,1,1,1,2,7,2,4,40,2,,10000,2,0,1
38409,1,1,1,1,1,1,12,1,,36,2,,19000,2,0,1
38409,1,1,2,2,1,1,12,2,5,5,2,,10000,2,0,2
38409,3,1,1,1,2,1,12,2,2,26,1,20,11500,2,0,1
38409,4,1,1,1,1,1,12,2,2,40,2,,9870,2,0,1
38489,1,1,1,1,1,1,12,2,7,40,1,6,33000,2,0,1
38489,2,1,1,2,1,1,12,2,6,24,1,2,12000,2,0,1
38493,2,1,1,1,1,1,12,2,7,40,1,3,24000,1,1200,1
