nquest,nord,YL1,YL2,YTP1,YTP2,YTA1,YTA2,YTA31,YTA32,YL,YTP,YTA3,YTA,YT,YM,YCA1,YCA2,YCA,YCF1,YCF2,YCF3,YCF4,YCF,YC,Y,YMA1,YMA2
22891,1,0,0,23400,0,4800,0,0,14400,0,23400,-14400,-9600,13800,0,0,1200,1200,69.6136,0,0,0,69.6136,1269.6136,15069.6136,0,0
22995,1,0,0,17264,0,0,0,0,0,0,17264,0,0,17264,0,1000,21600,22600,674.51625284,0,0,0,674.51625284,23274.516253,40538.516253,0,0
22996,1,0,0,19500,0,0,0,0,0,0,19500,0,0,19500,0,0,6000,6000,87.017,1304.175,0,0,1391.192,7391.192,26891.192,0,0
22996,2,0,0,8450,0,0,0,0,0,0,8450,0,0,8450,0,0,0,0,0,0,0,0,0,0,8450,0,0
23193,1,0,0,16120,0,1200,0,0,0,0,16120,0,1200,17320,0,0,0,0,56.093890721,0,0,0,56.093890721,56.093890721,17376.093891,0,0
23370,1,0,0,16510,0,0,0,0,0,0,16510,0,0,16510,0,0,0,0,297.59814,0,130.4175,0,428.01564,428.01564,16938.01564,0,0
23384,1,0,0,12740,0,0,0,0,0,0,12740,0,0,12740,0,0,4800,4800,104.4204,0,456.46125,0,560.88165,5360.88165,18100.88165,0,0
23386,1,7200,0,0,0,0,0,0,0,7200,0,0,0,0,0,0,9360,9360,243.6476,0,0,0,243.6476,9603.6476,16803.6476,0,0
23386,2,14400,0,0,0,0,0,0,0,14400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14400,0,0
23386,3,13200,0,0,0,0,0,0,0,13200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13200,0,0
23490,1,0,0,14950,0,0,0,0,0,0,14950,0,0,14950,0,0,7200,7200,130.5255,0,1738.9,0,1869.4255,9069.4255,24019.4255,0,0
23797,1,15600,0,0,0,0,0,0,0,15600,0,0,0,0,0,0,3600,3600,98.053370688,0,0,0,98.053370688,3698.0533707,19298.053371,0,0
23797,3,9000,0,0,0,0,0,0,0,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,0,0
23798,1,0,0,11700,0,0,0,0,0,0,11700,0,0,11700,0,0,0,0,97.726199561,0,0,0,97.726199561,97.726199561,11797.7262,0,0
23821,1,0,0,6981,0,0,0,0,0,0,6981,0,0,6981,0,0,1800,1800,118.34312,0,0,0,118.34312,1918.34312,8899.34312,0,0
23823,1,0,0,7800,0,0,0,0,0,0,7800,0,0,7800,0,0,5520,5520,128.78516,0,0,0,128.78516,5648.78516,13448.78516,0,0
23823,2,11300,0,0,0,0,0,0,0,11300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11300,0,0
