nquest,nopco,stupco,conpco,setpco,nomco,stumco,conmco,setmco
500674,1,2,1,3,1,2,9,
500726,1,4,8,4,1,2,8,4
500784,,,,,,,,
500877,1,2,8,1,1,2,8,1
501068,1,2,1,1,1,2,9,
501082,1,2,1,2,1,2,9,
501444,1,1,1,4,1,1,9,
501448,2,,,,2,,,
501492,1,4,2,3,1,2,9,
501697,1,2,1,4,1,2,1,4
501723,1,2,1,4,1,2,9,
501777,2,,,,1,3,8,4
501816,,,,,,,,
501874,1,3,2,2,1,2,9,
502025,1,2,1,4,1,2,1,2
502060,,,,,,,,
502248,,,,,,,,
502355,1,2,1,1,1,2,9,
502360,,,,,,,,
502364,2,,,,2,,,
502366,,,,,,,,
502386,,,,,,,,
502512,1,3,2,4,1,3,2,4
502711,1,2,1,2,1,2,8,2
502772,2,,,,1,4,2,3
503308,1,3,3,3,1,3,9,
503487,1,3,2,4,1,3,1,2
503561,1,4,1,2,1,2,9,
503674,1,2,2,4,1,2,9,
503703,1,3,8,4,1,3,9,
503757,,,,,,,,
503788,1,2,1,2,1,2,1,2
503850,1,4,9,,1,2,9,
503931,1,2,8,1,1,2,9,
504110,1,2,1,2,1,2,1,2
504125,1,2,1,1,1,2,9,
504129,1,2,1,4,1,2,1,2
504380,,,,,,,,
504395,,,,,,,,
504453,1,3,8,4,1,2,9,
504490,1,2,8,4,1,2,9,
504541,,,,,,,,
504578,1,7,10,,1,7,10,
504581,,,,,,,,
504584,,,,,,,,
504730,1,2,1,1,1,1,9,
504792,1,3,4,4,1,2,9,
504821,1,2,2,3,1,2,9,
504885,,,,,,,,
504886,1,2,4,3,1,2,9,
504921,1,2,1,2,1,2,9,
504937,1,2,1,2,1,2,9,
504956,1,2,1,4,1,2,9,
504965,,,,,,,,
504988,1,4,3,3,1,2,9,
505022,1,2,1,1,1,2,9,
505176,2,,,,2,,,
505226,1,2,1,2,1,2,9,
505228,,,,,,,,
505307,,,,,,,,
505322,1,2,8,1,1,2,9,
505366,1,2,1,4,1,2,9,
505374,,,,,,,,
505385,2,,,,2,,,
505407,,,,,,,,
505418,1,2,8,1,1,2,8,1
505430,1,1,1,4,1,2,9,
505433,1,3,4,2,1,2,9,
505439,1,2,8,1,1,3,4,3
505463,1,2,1,2,1,2,9,
505486,,,,,,,,
505491,1,2,8,4,1,2,9,
505493,,,,,,,,
505523,,,,,,,,
505525,1,2,8,1,1,2,8,1
505540,,,,,,,,
505655,1,2,1,2,1,2,1,2
505806,,,,,,,,
505810,1,2,1,2,1,2,1,3
505820,1,2,2,3,1,2,9,
505833,,,,,,,,
505881,1,2,1,4,1,2,9,
506100,1,1,1,3,1,1,9,
506112,1,1,8,1,1,1,8,1
506132,1,3,1,4,1,2,10,
506152,,,,,,,,
506195,,,,,,,,
506374,,,,,,,,
506386,,,,,,,,
506396,1,4,2,3,1,4,2,3
506411,,,,,,,,
506413,1,2,8,1,1,2,8,1
506446,1,2,2,3,1,2,9,
506531,1,2,1,4,1,2,9,
506565,2,,,,2,,,
506591,2,,,,2,,,
506601,,,,,,,,
506608,,,,,,,,
506616,,,,,,,,
506657,2,,,,2,,,
506666,2,,,,2,,,
506729,1,1,1,1,1,1,9,
506733,1,2,1,2,1,2,9,
506738,1,2,1,2,1,2,9,
506742,1,7,7,4,1,7,9,
506753,1,2,2,2,1,2,9,
506758,1,2,1,5,1,2,1,5
506759,2,,,,2,,,
506760,1,2,1,1,1,2,1,1
506778,1,2,1,1,1,2,1,1
506785,1,1,1,1,1,1,9,
506799,1,2,8,4,1,2,1,3
506863,,,,,,,,
506889,1,1,1,1,1,1,9,
507037,1,2,8,4,1,7,9,
507078,1,1,1,1,1,1,1,1
507081,2,,,,2,,,
507111,,,,,,,,
507181,1,2,1,1,1,2,9,
507182,1,1,1,1,1,1,9,
507282,2,,,,2,,,
507303,1,1,1,1,1,2,1,1
507322,1,3,1,4,1,2,9,
507401,1,1,1,1,1,1,9,
507419,1,2,1,4,1,2,9,
507426,1,2,1,4,1,2,9,
507431,1,5,2,3,1,4,3,3
507441,1,3,8,4,1,2,1,3
507455,1,2,8,1,1,2,8,1
507462,1,7,8,4,1,4,1,3
507502,1,1,1,1,1,1,1,1
507519,,,,,,,,
507529,1,1,1,1,1,1,1,1
507541,1,3,8,1,1,3,1,1
507544,1,4,2,3,1,3,8,4
507547,1,2,8,4,1,1,9,
507552,1,3,1,4,1,4,1,3
