nquest,servb1,servb2,servb3,servb4,servb5,servb6,servb7,servb8,servb9,servb10,servb11,servb12,servb13,servb14,depc,ndepc,idepc,lib,nlib,ilib,unaban,banche,scoper,fscoper1,fscoper,carta,carte,usocart,cartdeb1,cartdeb,bancomat,nbancoma,cartapre,ncartapre,scorta,spesecon,compusa,compcasa,internet,ebuy,coldis,utscoper
23386,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,1,2,,,1,1,2,,,2,,,,,1,2,2,,100,400,1,1,2,,2,
23490,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,2,,,,,1,1,2,,150,900,1,1,2,,2,
23797,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,1,,,2,,,,,1,1,2,,200,1200,1,1,1,2,2,2
23798,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,1,,,2,,,,,2,,2,,200,900,2,,,,2,2
23821,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,3,,,2,,,,,1,1,2,,250,550,2,,,,2,
23823,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,2,,,2,2,1,,,2,,,,,1,2,2,,200,600,1,2,1,2,2,2
23865,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,2,,,2,2,2,,,1,1,1,,,2,,2,,500,1500,2,,,,2,
23986,,,,,,,,,,,,,,,2,,,2,,,,,,,,2,,,,,2,,2,,750,750,2,,,,2,
24010,,,,,,,,,,,,,,,2,,,2,,,,,,,,2,,,,,2,,2,,200,700,2,,,,2,
24080,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,1,,,1,1,1,,,1,2,2,,700,2000,1,1,1,2,2,2
24085,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,2,,,,,2,,2,,300,500,2,,,,2,
24147,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,2,,,1,1,2,,,1,2,2,,,1,2,2,,200,500,1,1,1,1,1,
24149,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,2,,,,,1,1,2,,100,600,2,,,,2,
24158,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,2,,,,,2,,2,,500,800,2,,,,2,
24171,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,1,1,2000,1,1,1,,,1,1,2,,400,600,2,,,,2,1
24194,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,2,,,,,1,1,2,,200,1000,1,1,1,1,2,
24195,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,2,,,1,1,2,,,2,,,,,2,,2,,300,900,2,,,,2,
24202,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,2,,,,,2,,2,,700,700,1,1,1,2,2,
24312,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,3,1,2,,,1,1,1,,,1,1,2,,,1,3,2,,200,500,1,1,1,1,2,2
24322,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1,2,2,2,,,2,,,,,1,3,2,,150,400,1,1,1,2,2,
24326,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,2,,,,,2,,2,,400,700,2,,,,2,
24374,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,,,2,,,,,1,1,2,,500,700,1,1,2,,2,
24379,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,,,1,1,1,1,1,,,,2,,,,,2,,2,,500,600,2,,,,2,
24382,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,2,,,,,2,,2,,600,600,2,,,,2,
24393,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,,,1,1,1,1,1,,,,2,,,,,2,,2,,500,600,2,,,,2,
24529,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,4,4,2,,,2,2,1,,,2,,,,,1,4,1,2,250,1000,1,1,1,1,2,2
24571,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1,1,1,2,,,2,,,,,2,,2,,500,400,2,,,,2,
24616,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,3,,,2,,,,,1,1,2,,200,500,2,,,,2,
24760,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,,,1,1,2,,,2,,,,,2,,2,,800,800,2,,,,2,
24764,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,1,,,1,1,2,,,1,1,2,,400,1200,1,1,1,1,2,2
24809,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,1,1,1,,,2,,2,,500,800,2,,,,2,
24853,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,,,1,1,2,,,2,,,,,1,1,2,,100,600,1,1,1,2,1,
24885,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,3,,,2,,,,,2,,2,,200,600,2,,,,2,
24924,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,2,2,1,1,1,2,2,1,1,2500,1,2,2,,,1,1,2,,500,800,1,1,1,2,1,1
24984,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,2,,,2,2,2,,,2,,,,,2,,2,,700,2000,1,1,1,2,2,
25007,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,2,,,,,1,1,2,,300,900,2,,,,2,
25138,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,1,,,1,1,2,,,1,1,2,,300,1100,1,1,1,2,2,2
25148,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,1,,,1,1,1,,,1,1,2,,500,2500,1,1,1,2,2,2
25238,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,2,,,,,1,1,2,,200,500,2,,,,2,
25245,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,2,,,,,2,,2,,100,400,1,1,1,2,2,
25435,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,2,2,1,1,1,2,2,2,,,1,1,2,,,1,2,2,,300,300,1,1,1,1,1,
25625,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,2,,,2,2,2,,,1,2,2,,,1,2,2,,1000,1200,2,,,,2,
25723,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,1,,,2,,,,,1,1,2,,100,300,1,1,1,2,2,2
25930,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,2,2,,,1,1,1,,,1,1,2,,,1,2,2,,1200,1500,1,1,1,2,2,2
25968,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,1,,,1,1,2,,,1,1,2,,300,1000,1,1,1,2,1,2
25970,1,0,0,0,1,0,0,1,0,0,0,0,0,0,2,,,1,1,2,1,1,,,,2,,,,,2,,2,,2,980,2,,,,2,
26048,1,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,2,2,,,1,1,1,,,1,1,2,,,1,2,2,,200,2500,1,1,1,1,1,2
26163,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,3,,,2,,,,,1,1,2,,150,700,1,1,1,2,2,
26281,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,,,1,1,1,1,1,,,,2,,,,,2,,2,,400,700,2,,,,2,
26310,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,2,,,2,2,2,,,2,,,,,1,2,2,,1000,1000,1,1,1,2,2,
26349,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,1,1,1,,,1,1,2,,300,900,2,,,,2,
26499,,,,,,,,,,,,,,,2,,,2,,,,,,,,2,,,,,2,,2,,700,700,2,,,,2,
26574,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,1,,,2,,,,,1,1,2,,300,800,1,1,1,2,2,2
26653,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,,,1,1,2,,,1,1,1,,,2,,2,,700,700,2,,,,2,
26684,,,,,,,,,,,,,,,2,,,2,,,,,,,,2,,,,,2,,2,,20,200,2,,,,2,
27109,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,,1,1,3,,,2,,,,,2,,2,,800,800,2,,,,2,
27114,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,1,1,2,1,1,,,,2,,,,,2,,2,,1000,1000,2,,,,2,
27116,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,2,,,,,1,1,2,,800,800,2,,,,2,
27123,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,2,2,,,2,2,1,,,2,,,,,1,1,2,,1000,1100,1,1,1,1,2,2
27155,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,1,1,4500,1,2,2,,,1,2,2,,250,500,1,1,1,1,1,1
27157,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,,,2,2,2,,,1,1,2,,,1,1,2,,500,500,1,1,1,1,1,
27224,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,1,1,2,,,1,1,2,,1000,1000,1,1,1,2,2,
27238,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,2,,,,,1,2,2,,1000,1000,1,1,1,2,2,
27505,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,1,,,1,1,1,,,1,1,2,,300,500,2,,,,2,2
27509,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,1,,,2,,,,,1,1,2,,500,800,2,,,,2,2
27730,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2,1,1,1,2,2,1,,,2,,,,,2,,2,,250,1000,1,1,1,2,2,2
27734,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,2,,,2,2,1,,,2,,,,,1,2,2,,300,800,2,,,,2,2
27739,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,1,,,2,,,,,2,,2,,200,600,2,,,,2,2
